task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec,waiting_time_mili_sec,time_in_system_mili_sec
8,hard,15,08:01:24,08:01:24,08:06:12,COMPLETED,26831.0,4826.0,0.25,288.43
11,hard,15,08:02:20,08:06:19,08:12:22,COMPLETED,30043.0,6058.7,239.84,602.99
10,hard,15,08:03:16,08:12:29,08:15:48,COMPLETED,30874.0,3321.4,553.38,752.28
1,hard,15,08:09:22,08:15:54,08:31:43,COMPLETED,32436.0,15819.1,392.69,1341.27
7,hard,15,08:15:59,08:31:49,08:39:36,COMPLETED,39874.0,7780.5,950.87,1417.35
0,hard,15,08:19:06,08:39:42,08:44:50,COMPLETED,35601.860508740894,5140.6,1236.73,1544.10
12,hard,15,08:19:10,08:44:57,08:52:02,COMPLETED,33713.0,7100.7,1547.20,1972.89
14,hard,15,08:20:32,08:52:09,08:56:04,COMPLETED,32422.02115737621,3942.5,1897.27,2132.72
6,hard,15,08:22:27,08:56:11,08:58:21,COMPLETED,31067.0,2182.6,2024.87,2154.73
13,hard,15,08:35:29,08:58:28,09:03:00,COMPLETED,29287.31310508681,4528.8,1379.86,1651.24
9,hard,15,08:38:37,09:03:06,09:16:35,COMPLETED,38870.0,13491.8,1469.61,2278.55
2,hard,15,08:44:34,09:16:42,09:20:19,COMPLETED,24601.048542844575,3628.2,1928.15,2145.49
5,hard,15,08:46:52,09:20:25,09:25:51,COMPLETED,35927.77100229958,5443.5,2013.87,2339.87
4,hard,15,08:50:40,09:25:58,09:31:06,COMPLETED,35362.0,5141.9,2118.50,2426.63
3,hard,15,08:59:19,09:31:13,09:41:04,COMPLETED,42017.01760861814,9874.2,1914.04,2505.43
22,hard,15,09:08:23,09:41:11,09:44:20,COMPLETED,30774.0,3159.1,1968.53,2157.48
17,hard,15,09:11:19,09:44:27,09:49:23,COMPLETED,37112.80997037409,4943.0,1988.11,2284.34
25,hard,15,09:12:58,09:49:29,09:53:22,COMPLETED,36961.13255152193,3886.7,2191.72,2424.58
24,hard,15,09:13:35,09:53:28,10:14:23,COMPLETED,40086.0,20913.2,2393.95,3648.38
26,hard,15,09:17:40,10:14:29,10:19:13,COMPLETED,32727.0,4728.5,3409.76,3693.09
20,hard,15,09:18:13,10:19:19,10:23:21,COMPLETED,32962.0,4048.7,3666.50,3908.25
18,hard,15,09:22:10,10:23:28,10:32:19,COMPLETED,43895.39736056059,8863.5,3678.45,4209.92
29,hard,15,09:25:45,10:32:26,10:37:25,COMPLETED,31792.20192041429,4984.9,4001.28,4300.04
21,hard,15,09:31:05,10:37:31,10:40:50,COMPLETED,29988.0,3338.9,3986.41,4185.75
27,hard,15,09:32:30,10:40:57,10:43:10,COMPLETED,31686.0,2220.0,4107.78,4240.60
23,hard,15,09:38:18,10:43:17,10:49:12,COMPLETED,32777.84506347685,5961.9,3899.00,4254.98
28,hard,15,09:45:32,10:49:20,10:52:33,COMPLETED,28235.0,3234.2,3828.76,4021.71
19,hard,15,09:46:53,10:52:40,10:58:44,COMPLETED,33587.136404944446,6062.4,3947.85,4311.24
15,hard,15,09:57:33,10:58:50,11:04:49,COMPLETED,28187.0,5992.8,3677.61,4036.08
16,hard,15,09:59:35,11:04:56,11:45:26,COMPLETED,36992.0,40508.1,3921.23,6351.35
37,hard,15,10:04:44,11:45:32,11:50:46,COMPLETED,34094.0,5240.2,6048.74,6362.08
43,hard,15,10:19:42,11:50:53,11:53:58,COMPLETED,26211.0,3091.7,5471.20,5656.35
33,hard,15,10:21:32,11:54:04,12:01:31,COMPLETED,28917.0,7458.6,5552.72,5999.15
32,hard,15,10:21:53,12:01:38,12:10:59,COMPLETED,32804.0,9352.0,5985.28,6546.06
41,hard,15,10:22:25,12:11:05,12:19:34,COMPLETED,35387.0,8497.2,6520.42,7029.91
40,hard,15,10:24:34,12:19:41,12:26:13,COMPLETED,43798.0,6547.2,6907.28,7299.77
38,hard,15,10:26:55,12:26:20,12:45:44,COMPLETED,40704.656438759994,19417.0,7165.14,8329.07
36,hard,15,10:34:01,12:45:51,13:03:15,COMPLETED,35616.0,17405.6,7910.19,8954.19
31,hard,15,10:36:00,13:03:21,13:08:05,COMPLETED,29054.751025470072,4730.2,8841.55,9125.01
35,hard,15,10:36:44,13:08:11,13:12:25,COMPLETED,33394.093622732355,4240.7,9087.39,9341.13
42,hard,15,10:40:41,13:12:31,13:14:59,COMPLETED,35261.93338608437,2471.2,9110.86,9258.54
39,hard,15,10:43:21,13:15:06,13:23:44,COMPLETED,36008.0,8667.8,9105.16,9624.00
30,hard,15,10:45:25,13:23:52,13:28:09,COMPLETED,32004.0,4294.4,9507.27,9764.36
34,hard,15,10:47:28,13:28:15,13:31:18,COMPLETED,33042.73183719499,3051.2,9647.97,9830.69
44,hard,15,10:56:06,13:31:25,13:36:02,COMPLETED,37221.0,4637.6,9319.07,9596.95
56,hard,15,11:00:45,13:36:09,13:43:05,COMPLETED,32745.0,6938.2,9324.35,9740.29
53,hard,15,11:02:30,13:43:11,13:55:39,COMPLETED,36510.0,12465.6,9641.66,10389.25
47,hard,15,11:03:34,13:55:45,14:00:54,COMPLETED,34286.9325699711,5157.5,10331.62,10640.47
51,hard,15,11:04:52,14:01:01,14:05:50,COMPLETED,30609.0,4832.6,10569.11,10858.71
59,hard,15,11:11:04,14:05:57,14:19:55,COMPLETED,35817.0,13982.6,10493.09,11331.40
50,hard,15,11:19:46,14:20:02,14:23:39,COMPLETED,28174.934222592517,3625.8,10816.07,11033.15
57,hard,15,11:19:53,14:23:45,14:27:59,COMPLETED,30993.0,4232.2,11032.64,11286.02
58,hard,15,11:20:29,14:28:05,14:32:31,COMPLETED,34783.0,4436.7,11256.60,11522.18
45,hard,15,11:23:04,14:32:37,14:41:52,COMPLETED,28643.0,9249.3,11373.83,11928.43
55,hard,15,11:24:06,14:41:58,14:46:18,COMPLETED,40020.0,4347.7,11872.81,12132.57
48,hard,15,11:33:10,14:46:25,14:50:06,COMPLETED,32379.0,3685.7,11595.71,11816.51
46,hard,15,11:37:36,14:50:12,14:57:59,COMPLETED,35926.0,7800.7,11556.89,12023.87
52,hard,15,11:44:55,14:58:06,15:06:36,COMPLETED,40284.0,8520.5,11591.97,12101.94
49,hard,15,11:53:05,15:06:44,15:17:50,COMPLETED,36019.0,11110.1,11619.24,12285.50
54,hard,15,11:53:44,15:17:56,15:24:35,COMPLETED,37632.0,6660.0,12252.88,12651.38
61,hard,15,12:01:11,15:24:42,15:34:54,COMPLETED,27830.0,10226.3,12211.51,12823.60
71,hard,15,12:06:16,15:35:02,15:38:24,COMPLETED,36690.0,3374.4,12526.14,12728.23
74,hard,15,12:07:36,15:38:30,15:42:08,COMPLETED,26096.0,3630.6,12654.63,12872.10
68,hard,15,12:10:05,15:42:14,15:45:57,COMPLETED,35677.0,3726.4,12729.49,12952.72
67,hard,15,12:12:14,15:46:04,15:49:50,COMPLETED,32599.083775516418,3778.3,12830.10,13056.46
65,hard,15,12:19:09,15:49:56,15:55:42,COMPLETED,32016.0,5775.6,12647.82,12993.11
63,hard,15,12:21:24,15:55:49,16:04:40,COMPLETED,31435.0,8855.0,12865.40,13396.36
66,hard,15,12:26:52,16:04:46,16:13:37,COMPLETED,35412.0,8861.3,13074.73,13605.99
64,hard,15,12:33:15,16:13:44,16:17:45,COMPLETED,34873.0,4021.3,13229.43,13470.35
69,hard,15,12:43:18,16:17:51,16:32:17,COMPLETED,33574.0,14428.1,12873.73,13739.07
60,hard,15,12:49:02,16:32:23,16:35:48,COMPLETED,27394.0,3443.8,13401.44,13606.97
70,hard,15,12:50:18,16:35:56,16:38:51,COMPLETED,33482.0,2934.4,13538.11,13713.81
72,hard,15,12:50:36,16:38:58,16:47:24,COMPLETED,34228.80043846246,8468.5,13702.21,14208.88
62,hard,15,12:58:41,16:47:32,16:52:42,COMPLETED,31597.493593116036,5170.0,13731.38,14041.22
73,hard,15,12:59:57,16:52:48,16:59:28,COMPLETED,36887.0,6675.3,13971.61,14371.44
76,hard,15,13:00:24,16:59:35,17:09:10,COMPLETED,35127.0,9594.1,14351.15,14926.46
75,hard,15,13:03:30,17:09:16,17:17:50,COMPLETED,30372.0,8569.9,14746.83,15260.67
78,hard,15,13:09:23,17:17:57,17:22:47,COMPLETED,30551.0,4856.9,14914.05,15204.35
84,hard,15,13:16:29,17:22:54,17:25:25,COMPLETED,32803.0,2516.0,14785.49,14936.02
88,hard,15,13:23:01,17:25:31,17:27:44,COMPLETED,28933.0,2219.8,14550.48,14683.28
83,hard,15,13:28:49,17:27:50,17:31:09,COMPLETED,31753.0,3326.6,14341.69,14540.94
79,hard,15,13:29:51,17:31:16,17:40:24,COMPLETED,29917.0,9145.9,14485.31,15033.70
87,hard,15,13:31:34,17:40:31,17:54:44,COMPLETED,36579.0,14227.1,14937.09,15790.09
85,hard,15,13:32:17,17:54:50,18:00:00,UNFINISHED,-1,-1,-1
82,hard,15,13:35:16,-,-,IGNORED,-1,-1
77,hard,15,13:43:36,-,-,IGNORED,-1,-1
81,hard,15,13:48:20,-,-,IGNORED,-1,-1
86,hard,15,13:48:36,-,-,IGNORED,-1,-1
80,hard,15,13:49:13,-,-,IGNORED,-1,-1
89,hard,15,13:56:12,-,-,IGNORED,-1,-1
90,hard,15,14:00:24,-,-,IGNORED,-1,-1
99,hard,15,14:01:53,-,-,IGNORED,-1,-1
93,hard,15,14:18:58,-,-,IGNORED,-1,-1
103,hard,15,14:19:00,-,-,IGNORED,-1,-1
94,hard,15,14:20:49,-,-,IGNORED,-1,-1
104,hard,15,14:23:10,-,-,IGNORED,-1,-1
101,hard,15,14:23:22,-,-,IGNORED,-1,-1
102,hard,15,14:25:08,-,-,IGNORED,-1,-1
92,hard,15,14:25:41,-,-,IGNORED,-1,-1
95,hard,15,14:37:58,-,-,IGNORED,-1,-1
97,hard,15,14:39:20,-,-,IGNORED,-1,-1
91,hard,15,14:41:37,-,-,IGNORED,-1,-1
