task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec,waiting_time_mili_sec,time_in_system_mili_sec
55,hard,15,08:01:05,08:01:06,08:22:31,COMPLETED,27311.0,21419.9,1.64,1286.81
28,hard,15,08:04:53,08:04:56,08:29:06,COMPLETED,36187.0,24175.4,3.20,1453.68
15,hard,15,08:24:31,08:24:35,08:40:01,COMPLETED,35278.0,15429.9,4.40,930.08
59,hard,15,08:23:25,08:23:27,08:42:32,COMPLETED,27892.0,19088.7,2.05,1147.23
44,hard,15,08:30:56,08:30:57,08:42:57,COMPLETED,31932.0,12004.4,1.87,721.96
12,hard,15,08:27:56,08:27:58,08:44:39,COMPLETED,30373.0,16680.5,3.00,1003.61
68,hard,15,08:07:20,08:07:21,08:44:58,COMPLETED,33771.0,37618.7,1.79,2258.84
38,hard,15,08:00:51,08:00:54,08:47:44,COMPLETED,36238.0,46831.4,3.22,2813.08
27,hard,15,08:38:53,08:38:58,08:50:02,COMPLETED,25281.0,11068.1,5.42,669.28
61,hard,15,08:32:16,08:32:19,08:51:36,COMPLETED,30083.0,19288.4,3.20,1160.37
8,hard,15,08:19:29,08:19:34,08:59:08,COMPLETED,33166.0,39581.2,5.14,2379.92
34,hard,15,08:39:03,08:39:04,08:59:40,COMPLETED,28929.0,20598.6,1.70,1237.47
36,hard,15,08:10:09,08:10:12,09:05:09,COMPLETED,37597.0,54955.6,3.42,3300.69
63,hard,15,08:38:21,08:38:21,09:05:16,COMPLETED,35594.0,26924.8,0.01,1615.14
18,hard,15,08:16:23,08:16:24,09:05:22,COMPLETED,30701.0,48978.8,1.19,2939.81
20,hard,15,08:50:30,08:50:33,09:12:00,COMPLETED,24628.0,21454.7,3.61,1290.67
31,hard,15,08:50:43,08:50:46,09:14:38,COMPLETED,27608.0,23877.2,3.25,1435.66
5,hard,15,08:38:21,08:38:21,09:17:38,COMPLETED,32985.0,39296.5,0.01,2357.49
82,hard,15,09:01:15,09:01:15,09:18:17,COMPLETED,27169.0,17052.3,0.08,1022.78
46,hard,15,08:14:03,08:14:03,09:18:57,COMPLETED,39239.0,64885.6,0.97,3894.05
4,hard,15,08:40:06,08:40:07,09:19:09,COMPLETED,31286.0,39047.1,1.33,2343.99
2,hard,15,08:50:35,08:50:39,09:20:15,COMPLETED,28853.0,29591.4,4.94,1780.04
24,hard,15,08:32:36,08:32:37,09:21:38,COMPLETED,31513.0,49016.6,1.96,2942.82
66,hard,15,08:17:01,08:17:06,09:24:23,COMPLETED,31420.0,67273.9,5.94,4042.32
58,hard,15,08:40:13,08:40:13,09:27:01,COMPLETED,27913.0,46796.1,0.62,2808.23
7,hard,15,08:21:16,08:21:18,09:28:04,COMPLETED,34025.0,66772.5,2.27,4008.53
60,hard,15,08:56:41,08:56:41,09:28:10,COMPLETED,36490.0,31497.6,0.27,1889.89
41,hard,15,08:55:07,08:55:11,09:28:42,COMPLETED,34819.0,33516.3,4.81,2015.57
19,hard,15,08:16:08,08:16:11,09:29:58,COMPLETED,32418.0,73778.9,3.93,4430.61
