task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec,waiting_time_mili_sec,time_in_system_mili_sec
8,medium,13,08:01:10,08:01:12,08:03:44,COMPLETED,26630.0,2562.6,2.18,154.51
6,easy,12,08:02:25,08:03:51,08:04:20,COMPLETED,26797.0,485.6,86.96,115.46
11,hard,15,08:02:33,08:04:27,08:08:37,COMPLETED,35062.593495741545,4170.6,114.13,364.01
14,easy,12,08:05:44,08:08:43,08:09:48,COMPLETED,23736.0,1086.4,179.39,244.31
19,medium,13,08:07:13,08:09:54,08:10:59,COMPLETED,26567.0,1085.8,161.60,226.48
13,easy,11,08:07:47,08:11:05,08:11:33,COMPLETED,29380.481899072503,461.1,198.77,226.25
15,medium,13,08:10:51,08:11:39,08:12:32,COMPLETED,31749.0,889.5,48.46,101.56
0,hard,15,08:17:41,08:17:45,08:23:19,COMPLETED,35070.0,5573.0,4.46,338.37
10,hard,15,08:18:41,08:23:25,08:28:39,COMPLETED,27850.0,5239.6,284.87,598.89
5,easy,11,08:21:35,08:28:46,08:29:38,COMPLETED,27678.656477249602,871.6,431.27,483.37
1,hard,15,08:24:38,08:29:44,08:32:28,COMPLETED,30042.0,2756.4,306.59,470.91
18,hard,15,08:24:52,08:32:36,08:40:20,COMPLETED,31321.235886370203,7758.9,464.01,928.26
2,medium,14,08:29:55,08:40:27,08:43:33,COMPLETED,30311.0,3119.2,632.59,818.81
7,medium,13,08:30:45,08:43:40,08:45:13,COMPLETED,29966.0,1544.3,775.78,868.17
3,hard,15,08:31:28,08:45:19,08:49:33,COMPLETED,28024.0,4232.6,831.47,1085.07
4,medium,13,08:40:17,08:49:39,08:52:26,COMPLETED,34016.0,2791.3,562.44,729.64
9,medium,13,08:40:45,08:52:32,08:54:39,COMPLETED,25998.0,2134.1,707.94,834.97
12,hard,15,08:42:29,08:54:47,08:59:50,COMPLETED,36881.0,5071.6,738.04,1041.97
17,hard,15,08:47:25,08:59:57,09:08:44,COMPLETED,25978.306950403632,8784.9,752.35,1279.10
16,medium,13,08:48:35,09:08:50,09:11:25,COMPLETED,29021.0,2596.4,1215.47,1370.94
29,hard,15,09:10:49,09:11:32,09:16:59,COMPLETED,38049.56568678569,5466.8,43.28,370.42
21,medium,13,09:17:09,09:17:12,09:18:41,COMPLETED,31658.0,1502.3,3.33,92.66
38,medium,14,09:19:30,09:19:30,09:21:44,COMPLETED,31486.0,2230.2,0.59,134.10
37,easy,11,09:20:57,09:21:50,09:22:18,COMPLETED,35308.0,467.9,53.44,81.32
36,hard,15,09:23:13,09:23:18,09:27:26,COMPLETED,41929.683825140106,4142.1,5.65,253.05
23,hard,15,09:25:43,09:27:33,09:30:36,COMPLETED,38866.0,3053.8,110.21,293.08
34,medium,13,09:25:53,09:30:42,09:32:47,COMPLETED,29745.0,2089.5,289.47,414.56
39,medium,13,09:26:10,09:32:53,09:34:47,COMPLETED,33239.0,1902.7,403.86,517.60
24,easy,12,09:27:56,09:34:54,09:35:52,COMPLETED,21086.0,983.7,418.05,476.72
26,easy,12,09:30:30,09:35:59,09:36:27,COMPLETED,25084.139405834612,478.6,329.10,357.65
35,medium,13,09:36:26,09:36:33,09:37:51,COMPLETED,27551.0,1296.5,7.91,85.28
25,medium,13,09:36:54,09:37:57,09:39:50,COMPLETED,35338.0,1888.3,63.72,176.75
28,medium,13,09:39:31,09:39:57,09:42:08,COMPLETED,31415.0,2193.8,26.05,157.43
31,medium,14,09:42:22,09:42:26,09:46:03,COMPLETED,33946.0,3620.9,4.72,221.47
27,medium,13,09:43:42,09:46:10,09:47:45,COMPLETED,24466.988468569674,1599.4,148.00,243.70
32,easy,12,09:46:57,09:47:51,09:49:02,COMPLETED,31566.491259810293,1179.3,55.00,125.52
20,medium,14,09:49:45,09:49:50,09:51:57,COMPLETED,29016.0,2114.8,5.85,132.43
22,hard,15,09:51:38,09:52:03,10:07:17,COMPLETED,36734.0,15229.4,25.76,939.18
33,easy,11,09:56:20,10:07:23,10:08:22,COMPLETED,30672.421912491474,984.3,663.55,722.05
30,easy,11,09:59:20,10:08:28,10:08:45,COMPLETED,24602.294054581846,277.8,548.65,565.14
41,easy,11,10:02:19,10:08:51,10:09:07,COMPLETED,20851.59261399912,268.1,392.35,408.12
51,hard,15,10:06:24,10:09:13,10:23:54,COMPLETED,34335.661748181075,14691.4,169.46,1050.50
54,easy,11,10:08:57,10:24:00,10:25:04,COMPLETED,29057.752266775653,1068.2,903.97,967.82
59,hard,15,10:09:27,10:25:11,10:27:35,COMPLETED,27089.0,2428.4,944.09,1088.69
40,hard,15,10:11:03,10:27:42,10:34:12,COMPLETED,35065.0,6500.8,999.83,1389.52
49,hard,15,10:14:33,10:34:18,11:19:51,COMPLETED,45570.70632599016,45549.1,1185.91,3918.16
48,hard,15,10:21:52,11:19:57,11:23:42,COMPLETED,42087.0,3762.0,3485.88,3710.51
43,easy,11,10:28:01,11:23:49,11:24:42,COMPLETED,28652.97194598842,876.4,3348.64,3401.03
50,medium,14,10:31:45,11:24:48,11:27:00,COMPLETED,30162.0,2204.7,3183.25,3315.22
53,easy,12,10:32:28,11:27:06,11:28:04,COMPLETED,27934.0,980.2,3278.55,3336.63
55,hard,15,10:36:03,11:28:11,11:34:25,COMPLETED,34279.465834703115,6246.6,3128.40,3502.84
58,medium,14,10:36:12,11:34:32,11:38:27,COMPLETED,30405.0,3927.4,3500.22,3735.55
52,hard,15,10:38:42,11:38:33,11:42:46,COMPLETED,34018.0,4229.2,3591.89,3844.99
47,hard,15,10:40:33,11:42:53,11:48:13,COMPLETED,35703.0,5329.0,3740.67,4060.05
45,hard,15,10:43:16,11:48:19,11:52:32,COMPLETED,32076.0,4238.0,3903.43,4156.66
44,easy,11,10:47:28,11:52:39,11:53:40,COMPLETED,20676.0,1019.0,3911.75,3972.32
56,medium,14,10:49:56,11:53:46,11:56:21,COMPLETED,38534.0,2574.7,3830.94,3985.02
42,easy,11,10:54:14,11:56:27,11:57:18,COMPLETED,29335.718109389145,861.3,3733.45,3784.93
57,medium,14,10:57:10,11:57:25,11:59:49,COMPLETED,31266.0,2404.4,3615.15,3759.11
46,medium,13,10:59:29,11:59:55,12:02:00,COMPLETED,26883.0,2093.6,3626.43,3751.68
64,medium,13,11:02:40,12:02:07,12:03:32,COMPLETED,21249.0,1429.0,3567.08,3652.56
78,easy,11,11:02:56,12:03:38,12:03:55,COMPLETED,23541.02216761463,278.7,3642.85,3659.38
63,medium,13,11:07:49,12:04:01,12:06:07,COMPLETED,34871.0,2098.2,3372.60,3498.27
71,hard,15,11:08:32,12:06:13,12:17:05,COMPLETED,29746.0,10885.2,3461.56,4113.58
69,hard,15,11:13:18,12:17:12,12:20:10,COMPLETED,40266.0,2978.7,3834.70,4012.31
61,hard,15,11:15:54,12:20:17,12:24:27,COMPLETED,32568.0,4175.3,3863.47,4113.63
65,medium,13,11:18:16,12:24:34,12:28:10,COMPLETED,37655.450225185996,3615.3,3978.01,4194.15
75,hard,15,11:18:29,12:28:16,12:31:58,COMPLETED,26938.0,3703.1,4187.97,4409.01
77,easy,12,11:18:31,12:32:05,12:32:35,COMPLETED,31536.99035766041,515.6,4414.22,4444.69
70,easy,12,11:21:51,12:32:42,12:33:22,COMPLETED,29101.0,681.5,4251.18,4291.70
73,medium,14,11:24:33,12:33:29,12:37:18,COMPLETED,38186.0,3822.9,4136.10,4365.17
67,hard,15,11:28:29,12:37:24,12:40:25,COMPLETED,30912.0,3038.4,4135.50,4316.71
76,medium,14,11:29:41,12:40:32,12:43:03,COMPLETED,28710.084231105127,2531.9,4251.84,4402.05
79,medium,14,11:30:11,12:43:10,12:47:14,COMPLETED,29508.0,4079.0,4379.81,4623.99
74,medium,13,11:41:22,12:47:21,12:49:38,COMPLETED,24971.0,2289.6,3959.58,4096.69
66,easy,12,11:43:05,12:49:44,12:50:43,COMPLETED,24590.0725773562,979.1,3999.98,4058.50
60,medium,14,11:48:08,12:50:49,12:52:55,COMPLETED,30219.0,2116.7,3761.75,3887.76
68,medium,13,11:50:45,12:53:02,12:55:10,COMPLETED,33555.0,2132.0,3737.79,3865.46
62,medium,14,11:53:06,12:55:16,12:57:53,COMPLETED,38652.0,2624.7,3730.74,3887.86
72,medium,13,11:56:06,12:58:00,13:00:35,COMPLETED,27690.38010542307,2593.3,3714.25,3869.58
89,hard,15,12:00:26,13:00:41,13:03:24,COMPLETED,30955.602246198618,2718.6,3615.87,3778.63
86,hard,15,12:00:50,13:03:31,13:06:28,COMPLETED,25031.0,2969.4,3761.01,3938.63
81,hard,15,12:05:47,13:06:35,13:13:39,COMPLETED,36872.0,7081.0,3648.21,4072.70
97,easy,11,12:07:36,13:13:46,13:14:51,COMPLETED,35765.542978986254,1085.9,3970.09,4035.04
95,medium,13,12:08:20,13:14:57,13:16:50,COMPLETED,27667.0,1888.2,3997.27,4110.30
91,medium,13,12:11:49,13:16:56,13:18:43,COMPLETED,28488.0,1786.0,3907.59,4014.48
96,easy,11,12:12:17,13:18:49,13:19:17,COMPLETED,23029.520279017273,461.6,3992.77,4020.26
88,medium,14,12:14:52,13:19:23,13:21:32,COMPLETED,32209.0,2170.8,3871.49,4000.68
85,medium,14,12:25:39,13:21:39,13:23:51,COMPLETED,36748.0,2210.4,3360.78,3492.93
90,easy,12,12:29:38,13:23:58,13:24:56,COMPLETED,27635.0,974.3,3260.43,3318.65
87,medium,14,12:30:29,13:25:02,13:27:33,COMPLETED,28298.0,2521.4,3273.91,3424.19
99,easy,11,12:31:01,13:27:40,13:28:32,COMPLETED,22664.752728314215,882.2,3399.24,3451.50
93,easy,11,12:33:55,13:28:39,13:28:54,COMPLETED,29565.80973107907,265.1,3284.22,3299.94
98,easy,11,12:40:54,13:29:01,13:29:29,COMPLETED,29213.226623059487,482.3,2887.15,2915.32
84,easy,11,12:49:15,13:29:36,13:29:48,COMPLETED,29286.91507686784,207.3,2421.12,2433.37
83,medium,13,12:51:17,13:29:54,13:32:36,COMPLETED,35830.0,2709.0,2317.59,2479.78
94,medium,14,12:52:31,13:32:43,13:34:52,COMPLETED,28507.0,2156.5,2412.16,2541.04
80,hard,15,12:53:35,13:34:58,13:40:01,COMPLETED,31387.0,5063.1,2483.58,2786.31
82,medium,14,12:58:52,13:40:08,13:42:56,COMPLETED,29386.0,2821.6,2476.41,2644.63
