task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec,waiting_time_mili_sec,time_in_system_mili_sec
15,easy,11,08:01:32,08:01:36,08:03:34,COMPLETED,27347.0,1982.0,4.26,122.39
21,hard,15,08:03:10,08:03:41,08:09:00,COMPLETED,32555.0,5348.7,31.19,350.95
22,easy,11,08:06:58,08:09:08,08:10:05,COMPLETED,29066.425516730847,971.0,130.16,187.77
3,easy,11,08:18:22,08:18:25,08:19:28,COMPLETED,30025.119665708982,1067.8,3.25,66.68
7,medium,14,08:20:51,08:20:53,08:23:36,COMPLETED,35389.0,2730.1,2.49,165.34
9,easy,11,08:21:14,08:23:43,08:24:37,COMPLETED,32878.0,912.0,149.33,203.86
20,easy,11,08:22:10,08:24:44,08:25:06,COMPLETED,22299.434128201032,369.3,154.07,176.03
12,hard,15,08:23:27,08:25:12,08:27:37,COMPLETED,30890.0,2434.7,105.25,250.97
4,hard,15,08:26:13,08:27:44,08:31:52,COMPLETED,24544.0,4149.9,91.36,339.17
24,hard,15,08:32:09,08:32:11,08:37:04,COMPLETED,32985.0,4892.3,2.40,295.59
1,medium,14,08:34:38,08:37:10,08:40:35,COMPLETED,34690.0,3410.0,152.97,357.25
14,easy,11,08:37:41,08:40:41,08:41:33,COMPLETED,27365.098237276394,872.0,180.59,232.72
10,easy,11,08:38:13,08:41:39,08:42:01,COMPLETED,34796.655211355726,370.0,206.94,228.70
6,medium,14,08:40:04,08:42:08,08:44:22,COMPLETED,31015.0,2244.8,124.17,258.52
0,hard,15,08:44:27,08:44:28,08:48:09,COMPLETED,26948.0,3682.2,1.91,222.47
8,hard,15,08:44:40,08:48:15,08:50:34,COMPLETED,31123.0,2323.2,215.86,354.90
17,medium,14,08:46:54,08:50:41,08:53:25,COMPLETED,27382.85644815574,2741.7,227.29,391.30
5,easy,12,08:47:12,08:53:31,08:54:42,COMPLETED,26190.0,1186.2,379.82,450.76
18,easy,11,08:48:22,08:54:49,08:55:05,COMPLETED,25087.371705904632,269.8,387.01,403.01
11,easy,12,08:50:29,08:55:11,08:55:46,COMPLETED,27183.0,596.0,282.22,317.76
16,easy,11,08:50:57,08:55:53,08:56:14,COMPLETED,31578.78788208701,363.6,296.01,317.72
23,hard,15,08:54:53,08:56:20,09:00:34,COMPLETED,37188.0,4246.0,87.93,341.63
13,easy,12,08:56:03,09:00:41,09:01:49,COMPLETED,24970.0,1129.5,278.73,346.14
19,easy,11,08:58:23,09:01:55,09:02:17,COMPLETED,26637.479740289877,367.6,212.53,234.40
2,easy,11,08:59:25,09:02:23,09:02:51,COMPLETED,22531.50935622575,469.4,178.61,206.49
39,hard,15,09:04:18,09:04:21,09:16:37,COMPLETED,33896.0,12274.8,3.92,739.82
40,medium,14,09:04:38,09:16:44,09:19:39,COMPLETED,34375.0,2929.0,726.43,901.23
44,medium,13,09:05:27,09:19:46,09:21:45,COMPLETED,31837.0,2000.6,859.21,978.43
34,easy,11,09:06:45,09:21:52,09:22:21,COMPLETED,32211.2666246393,501.6,907.28,936.81
49,medium,14,09:07:39,09:22:28,09:25:05,COMPLETED,30592.0,2624.6,889.41,1046.03
46,easy,11,09:08:08,09:25:11,09:25:57,COMPLETED,21326.70003096502,766.0,1023.93,1069.61
35,medium,13,09:08:20,09:26:03,09:26:50,COMPLETED,30278.0,792.7,1063.92,1110.98
47,easy,12,09:15:16,09:26:57,09:27:25,COMPLETED,24771.0,476.7,701.51,729.89
38,medium,13,09:15:23,09:27:32,09:29:43,COMPLETED,28239.0,2190.1,729.13,860.27
33,hard,15,09:15:55,09:29:49,09:32:21,COMPLETED,30206.0,2550.4,834.56,986.38
29,medium,13,09:17:10,09:32:28,09:34:28,COMPLETED,27261.0,2004.6,918.63,1038.64
30,easy,11,09:19:53,09:34:34,09:35:03,COMPLETED,34281.15117214641,485.7,881.93,910.42
27,easy,11,09:21:31,09:35:10,09:35:28,COMPLETED,25128.722143538154,318.4,819.10,837.89
37,easy,12,09:22:17,09:35:35,09:36:04,COMPLETED,33489.71251702392,495.5,798.25,827.57
26,hard,15,09:24:08,09:36:11,09:40:43,COMPLETED,28560.0,4540.9,723.01,995.10
28,easy,11,09:26:18,09:40:49,09:41:41,COMPLETED,27209.126394459312,869.5,871.49,923.37
31,medium,14,09:33:14,09:41:47,09:43:55,COMPLETED,30449.0,2131.1,513.68,641.16
41,hard,15,09:33:18,09:44:01,09:46:17,COMPLETED,33446.0,2283.3,643.59,779.49
48,hard,15,09:35:30,09:46:24,09:49:04,COMPLETED,33249.0,2673.9,654.63,814.69
36,easy,12,09:39:22,09:49:11,09:50:09,COMPLETED,31421.0,972.4,589.09,647.04
32,medium,14,09:39:33,09:50:15,09:52:45,COMPLETED,36676.0,2510.4,642.46,792.78
