task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec,waiting_time_mili_sec,time_in_system_mili_sec
23,hard,15,08:04:04,08:04:06,08:08:36,COMPLETED,35559.0,4550.5,2.78,272.89
8,hard,15,08:05:37,08:08:45,08:11:17,COMPLETED,31836.0,2536.6,188.85,340.68
5,hard,15,08:06:31,08:11:24,08:15:20,COMPLETED,30428.0,3955.8,293.08,529.23
29,hard,15,08:07:10,08:15:27,08:20:43,COMPLETED,28014.291014041162,5284.2,497.46,813.77
27,hard,15,08:09:54,08:20:50,08:30:42,COMPLETED,43032.0,9877.6,656.54,1248.16
26,hard,15,08:14:20,08:30:49,08:33:37,COMPLETED,29298.0,2816.8,989.23,1157.87
28,hard,15,08:14:33,08:33:44,08:39:15,COMPLETED,40792.0,5542.0,1151.27,1482.76
31,hard,15,08:16:20,08:39:22,08:43:39,COMPLETED,33006.0,4279.8,1382.83,1639.28
0,hard,15,08:17:41,08:43:45,08:49:37,COMPLETED,35070.0,5866.0,1564.64,1916.24
33,hard,15,08:23:49,08:49:43,08:53:26,COMPLETED,31059.0,3728.4,1554.62,1777.67
25,hard,15,08:24:00,08:53:33,08:58:46,COMPLETED,28169.0,5228.3,1773.35,2086.68
1,hard,15,08:24:38,08:58:53,09:02:07,COMPLETED,30042.0,3245.0,2055.07,2249.14
17,hard,15,08:25:30,09:02:13,09:05:57,COMPLETED,37689.0,3735.9,2203.81,2427.60
11,hard,15,08:25:30,09:06:03,09:09:12,COMPLETED,30465.0,3159.1,2433.99,2622.45
32,hard,15,08:25:57,09:09:19,09:14:27,COMPLETED,30698.060354767287,5145.8,2602.58,2910.67
12,hard,15,08:27:07,09:14:34,09:17:17,COMPLETED,35690.0,2716.8,2847.35,3010.01
24,hard,15,08:29:24,09:17:23,09:23:44,COMPLETED,41098.0,6363.0,2879.38,3260.20
2,hard,15,08:29:55,09:23:51,09:27:34,COMPLETED,29377.0,3719.9,3236.20,3459.06
6,hard,15,08:30:01,09:27:40,09:33:36,COMPLETED,31741.0,5934.2,3459.43,3815.12
10,hard,15,08:30:40,09:33:42,09:39:53,COMPLETED,34899.0,6188.3,3782.50,4153.46
9,hard,15,08:31:23,09:39:59,09:48:50,COMPLETED,31537.0,8852.3,4116.83,4647.62
20,hard,15,08:31:30,09:48:56,10:01:00,COMPLETED,33258.0,12067.6,4646.99,5370.66
22,hard,15,08:34:18,10:01:07,10:04:49,COMPLETED,33979.0,3721.0,5209.07,5431.98
34,hard,15,08:34:47,10:04:56,10:10:09,COMPLETED,27345.0,5239.4,5409.36,5722.74
30,hard,15,08:38:52,10:10:16,10:22:17,COMPLETED,37020.0,12021.7,5484.76,6205.32
13,hard,15,08:40:19,10:22:24,10:32:42,COMPLETED,32969.0,10307.6,6125.10,6743.22
14,hard,15,08:41:17,10:32:48,10:36:43,COMPLETED,34446.0,3921.0,6691.59,6926.50
3,hard,15,08:41:58,10:36:49,10:40:02,COMPLETED,33187.0,3222.6,6891.87,7084.88
19,hard,15,08:44:12,10:40:09,10:44:34,COMPLETED,36286.0,4429.1,6957.25,7222.63
7,hard,15,08:50:13,10:44:41,10:49:27,COMPLETED,31927.549797283737,4777.9,6868.02,7154.03
21,hard,15,08:53:37,10:49:33,11:00:15,COMPLETED,35809.0,10700.6,6956.73,7598.42
16,hard,15,08:55:18,11:00:21,11:02:58,COMPLETED,30977.0,2620.5,7503.79,7660.66
18,hard,15,08:56:05,11:03:05,11:07:54,COMPLETED,31195.0,4838.1,7620.05,7909.92
15,hard,15,08:56:30,11:08:01,11:14:12,COMPLETED,31059.0,6188.2,7891.37,8262.24
4,hard,15,08:58:16,11:14:18,11:20:26,COMPLETED,31524.0,6140.7,8162.69,8530.61
53,hard,15,09:01:13,11:20:33,11:30:11,COMPLETED,30030.0,9664.2,8360.16,8938.88
48,hard,15,09:03:02,11:30:19,11:35:48,COMPLETED,30388.0,5507.7,8837.05,9166.41
39,hard,15,09:03:04,11:35:55,11:38:50,COMPLETED,33175.0,2921.7,9171.56,9346.51
40,hard,15,09:04:54,11:38:56,11:41:09,COMPLETED,28128.0,2215.7,9242.89,9375.47
55,hard,15,09:05:34,11:41:15,11:45:36,COMPLETED,41754.0,4356.8,9341.85,9602.13
68,hard,15,09:06:27,11:45:43,11:52:03,COMPLETED,37131.0,6338.3,9556.30,9936.26
66,hard,15,09:07:52,11:52:09,12:03:18,COMPLETED,41122.0,11163.9,9857.62,10526.90
59,hard,15,09:08:30,12:03:25,12:21:45,COMPLETED,33915.0,18347.2,10495.49,11595.25
50,hard,15,09:12:16,12:21:52,12:30:51,COMPLETED,35444.0,8998.0,11376.36,11915.90
56,hard,15,09:12:20,12:30:58,12:33:41,COMPLETED,37523.0,2719.4,11918.27,12081.07
43,hard,15,09:17:42,12:33:47,12:36:42,COMPLETED,37135.0,2929.8,11765.46,11940.23
65,hard,15,09:19:09,12:36:49,12:41:11,COMPLETED,27111.095990614347,4382.2,11860.28,12122.88
54,hard,15,09:24:05,12:41:18,12:44:37,COMPLETED,26922.0,3331.6,11833.25,12032.13
46,hard,15,09:24:30,12:44:44,12:50:06,COMPLETED,29993.0,5396.3,12014.19,12336.90
35,hard,15,09:25:57,12:50:14,12:55:13,COMPLETED,34215.0,4993.1,12257.01,12556.24
51,hard,15,09:30:04,12:55:19,13:04:35,COMPLETED,32474.0,9278.0,12315.62,12871.95
47,hard,15,09:30:34,13:04:42,13:10:38,COMPLETED,38899.73131872719,5945.8,12848.33,13204.13
58,hard,15,09:33:49,13:10:45,13:29:05,COMPLETED,31226.0,18341.7,13016.11,14116.26
62,hard,15,09:34:37,13:29:11,13:33:49,COMPLETED,30935.0,4645.1,14074.64,14352.23
38,hard,15,09:37:12,13:33:56,13:53:02,COMPLETED,41188.0,19099.6,14204.38,15350.00
60,hard,15,09:42:37,13:53:08,13:58:16,COMPLETED,34132.0,5149.2,15031.38,15339.30
67,hard,15,09:43:50,13:58:23,14:09:41,COMPLETED,31203.0,11327.3,15273.38,15951.93
42,hard,15,09:47:15,14:09:49,14:16:24,COMPLETED,33664.0,6589.0,15754.06,16149.06
44,hard,15,09:48:39,14:16:30,14:21:32,COMPLETED,34684.0,5047.2,16071.43,16373.19
64,hard,15,09:49:02,14:21:39,14:25:12,COMPLETED,35570.0,3555.3,16357.30,16570.27
57,hard,15,09:50:07,14:25:18,14:30:08,COMPLETED,34937.0,4831.4,16511.65,16801.19
63,hard,15,09:51:29,14:30:14,14:34:09,COMPLETED,32381.246191603503,3931.1,16725.55,16960.94
61,hard,15,09:52:14,14:34:16,14:42:45,COMPLETED,36286.0,8508.4,16922.45,17431.90
69,hard,15,09:52:16,14:42:52,14:55:51,COMPLETED,27358.0,12975.4,17437.00,18215.17
37,hard,15,09:55:26,14:55:57,15:03:36,COMPLETED,30524.18234459452,7661.5,18031.54,18490.07
36,hard,15,09:55:41,15:03:43,15:08:15,COMPLETED,35757.0,4539.6,18482.28,18754.28
41,hard,15,09:58:55,15:08:21,15:11:59,COMPLETED,28842.0,3635.2,18566.68,18784.16
49,hard,15,09:59:00,15:12:05,15:15:37,COMPLETED,31725.0,3534.8,18785.82,18997.57
45,hard,15,09:59:14,15:15:43,15:20:39,COMPLETED,27857.0,4933.0,18989.93,19285.34
52,hard,15,09:59:44,15:20:45,15:26:23,COMPLETED,34046.0,5639.8,19261.94,19599.99
80,hard,15,10:02:01,15:26:30,15:30:27,COMPLETED,28539.0,3956.0,19469.35,19706.36
94,hard,15,10:02:20,15:30:33,15:47:45,COMPLETED,33137.28269335899,17200.2,19693.73,20725.39
87,hard,15,10:03:27,15:47:51,15:54:35,COMPLETED,26175.84444283125,6738.2,20664.77,21068.72
91,hard,15,10:04:27,15:54:42,16:06:21,COMPLETED,38288.56786353185,11661.3,21015.09,21714.40
96,hard,15,10:07:49,16:06:27,16:10:29,COMPLETED,30121.0,4030.5,21518.79,21760.27
77,hard,15,10:09:01,16:10:35,16:16:49,COMPLETED,35420.0,6243.6,21694.65,22068.68
78,hard,15,10:11:56,16:16:56,16:27:55,COMPLETED,26729.661181376192,10995.3,21900.29,22559.67
79,hard,15,10:12:34,16:28:02,16:34:34,COMPLETED,37226.0,6546.1,22528.03,22920.45
102,hard,15,10:12:51,16:34:40,16:38:00,COMPLETED,27302.992558067162,3347.9,22909.82,23109.67
93,hard,15,10:13:38,16:38:07,16:44:25,COMPLETED,31035.131593577218,6309.6,23069.74,23447.93
88,hard,15,10:13:45,16:44:32,16:50:29,COMPLETED,33137.0,5967.6,23447.34,23804.14
97,hard,15,10:25:33,16:50:36,16:54:14,COMPLETED,29000.0,3635.8,23103.43,23321.23
92,hard,15,10:25:42,16:54:20,16:57:10,COMPLETED,30863.0,2839.8,23318.60,23488.44
73,hard,15,10:26:39,16:57:17,17:01:33,COMPLETED,30912.15758138372,4300.5,23438.02,23694.93
100,hard,15,10:27:50,17:01:41,17:07:27,COMPLETED,33939.31430112339,5772.1,23631.10,23977.02
72,hard,15,10:29:39,17:07:33,17:11:31,COMPLETED,40395.356174359724,3985.4,23874.45,24112.92
98,hard,15,10:30:13,17:11:38,17:17:59,COMPLETED,30128.0,6361.5,24085.60,24466.69
70,hard,15,10:30:58,17:18:06,17:22:27,COMPLETED,35894.62148303083,4351.4,24428.33,24689.06
74,hard,15,10:34:10,17:22:33,17:31:30,COMPLETED,30724.0,8962.9,24503.43,25040.85
82,hard,15,10:34:15,17:31:37,17:36:27,COMPLETED,25973.790909150543,4837.6,25042.23,25332.14
104,hard,15,10:37:57,17:36:33,17:51:16,COMPLETED,24270.0,14719.3,25116.51,25999.31
90,hard,15,10:39:29,17:51:22,17:56:08,COMPLETED,34197.0,4763.7,25913.70,26199.17
81,hard,15,10:40:56,17:56:14,18:00:00,UNFINISHED,-1,-1,-1
103,hard,15,10:42:34,-,-,IGNORED,-1,-1
89,hard,15,10:45:24,-,-,IGNORED,-1,-1
84,hard,15,10:45:44,-,-,IGNORED,-1,-1
101,hard,15,10:46:45,-,-,IGNORED,-1,-1
85,hard,15,10:47:18,-,-,IGNORED,-1,-1
83,hard,15,10:47:29,-,-,IGNORED,-1,-1
76,hard,15,10:47:52,-,-,IGNORED,-1,-1
71,hard,15,10:48:05,-,-,IGNORED,-1,-1
75,hard,15,10:48:18,-,-,IGNORED,-1,-1
99,hard,15,10:51:29,-,-,IGNORED,-1,-1
95,hard,15,10:54:00,-,-,IGNORED,-1,-1
86,hard,15,10:54:19,-,-,IGNORED,-1,-1
105,hard,15,11:00:19,-,-,IGNORED,-1,-1
134,hard,15,11:01:27,-,-,IGNORED,-1,-1
122,hard,15,11:06:42,-,-,IGNORED,-1,-1
125,hard,15,11:10:20,-,-,IGNORED,-1,-1
121,hard,15,11:11:17,-,-,IGNORED,-1,-1
108,hard,15,11:11:30,-,-,IGNORED,-1,-1
123,hard,15,11:14:29,-,-,IGNORED,-1,-1
128,hard,15,11:14:43,-,-,IGNORED,-1,-1
136,hard,15,11:14:44,-,-,IGNORED,-1,-1
118,hard,15,11:17:23,-,-,IGNORED,-1,-1
135,hard,15,11:18:03,-,-,IGNORED,-1,-1
107,hard,15,11:18:54,-,-,IGNORED,-1,-1
127,hard,15,11:19:33,-,-,IGNORED,-1,-1
138,hard,15,11:19:41,-,-,IGNORED,-1,-1
106,hard,15,11:26:46,-,-,IGNORED,-1,-1
139,hard,15,11:26:47,-,-,IGNORED,-1,-1
110,hard,15,11:30:03,-,-,IGNORED,-1,-1
113,hard,15,11:33:43,-,-,IGNORED,-1,-1
117,hard,15,11:34:40,-,-,IGNORED,-1,-1
111,hard,15,11:35:07,-,-,IGNORED,-1,-1
115,hard,15,11:35:26,-,-,IGNORED,-1,-1
116,hard,15,11:40:26,-,-,IGNORED,-1,-1
130,hard,15,11:41:10,-,-,IGNORED,-1,-1
114,hard,15,11:45:08,-,-,IGNORED,-1,-1
119,hard,15,11:48:26,-,-,IGNORED,-1,-1
131,hard,15,11:50:08,-,-,IGNORED,-1,-1
132,hard,15,11:54:53,-,-,IGNORED,-1,-1
133,hard,15,11:55:03,-,-,IGNORED,-1,-1
126,hard,15,11:56:38,-,-,IGNORED,-1,-1
112,hard,15,11:56:48,-,-,IGNORED,-1,-1
124,hard,15,11:56:59,-,-,IGNORED,-1,-1
109,hard,15,11:57:14,-,-,IGNORED,-1,-1
137,hard,15,11:57:47,-,-,IGNORED,-1,-1
120,hard,15,11:59:22,-,-,IGNORED,-1,-1
129,hard,15,11:59:54,-,-,IGNORED,-1,-1
146,hard,15,12:03:14,-,-,IGNORED,-1,-1
147,hard,15,12:04:05,-,-,IGNORED,-1,-1
156,hard,15,12:04:12,-,-,IGNORED,-1,-1
157,hard,15,12:05:28,-,-,IGNORED,-1,-1
153,hard,15,12:06:56,-,-,IGNORED,-1,-1
168,hard,15,12:09:15,-,-,IGNORED,-1,-1
143,hard,15,12:10:31,-,-,IGNORED,-1,-1
171,hard,15,12:11:07,-,-,IGNORED,-1,-1
165,hard,15,12:11:44,-,-,IGNORED,-1,-1
145,hard,15,12:17:23,-,-,IGNORED,-1,-1
174,hard,15,12:17:30,-,-,IGNORED,-1,-1
149,hard,15,12:18:26,-,-,IGNORED,-1,-1
169,hard,15,12:22:57,-,-,IGNORED,-1,-1
161,hard,15,12:23:25,-,-,IGNORED,-1,-1
164,hard,15,12:25:09,-,-,IGNORED,-1,-1
152,hard,15,12:26:03,-,-,IGNORED,-1,-1
173,hard,15,12:27:36,-,-,IGNORED,-1,-1
141,hard,15,12:28:33,-,-,IGNORED,-1,-1
150,hard,15,12:30:28,-,-,IGNORED,-1,-1
166,hard,15,12:31:34,-,-,IGNORED,-1,-1
160,hard,15,12:31:46,-,-,IGNORED,-1,-1
144,hard,15,12:34:17,-,-,IGNORED,-1,-1
154,hard,15,12:34:26,-,-,IGNORED,-1,-1
158,hard,15,12:34:43,-,-,IGNORED,-1,-1
172,hard,15,12:35:04,-,-,IGNORED,-1,-1
151,hard,15,12:39:17,-,-,IGNORED,-1,-1
148,hard,15,12:41:02,-,-,IGNORED,-1,-1
140,hard,15,12:42:08,-,-,IGNORED,-1,-1
142,hard,15,12:45:08,-,-,IGNORED,-1,-1
170,hard,15,12:47:21,-,-,IGNORED,-1,-1
159,hard,15,12:47:27,-,-,IGNORED,-1,-1
167,hard,15,12:49:08,-,-,IGNORED,-1,-1
155,hard,15,12:50:23,-,-,IGNORED,-1,-1
163,hard,15,12:51:49,-,-,IGNORED,-1,-1
162,hard,15,12:59:21,-,-,IGNORED,-1,-1
200,hard,15,13:01:18,-,-,IGNORED,-1,-1
192,hard,15,13:03:06,-,-,IGNORED,-1,-1
176,hard,15,13:03:13,-,-,IGNORED,-1,-1
180,hard,15,13:03:32,-,-,IGNORED,-1,-1
201,hard,15,13:06:57,-,-,IGNORED,-1,-1
185,hard,15,13:07:51,-,-,IGNORED,-1,-1
194,hard,15,13:09:58,-,-,IGNORED,-1,-1
207,hard,15,13:12:32,-,-,IGNORED,-1,-1
179,hard,15,13:12:35,-,-,IGNORED,-1,-1
204,hard,15,13:12:40,-,-,IGNORED,-1,-1
183,hard,15,13:17:11,-,-,IGNORED,-1,-1
184,hard,15,13:19:15,-,-,IGNORED,-1,-1
181,hard,15,13:21:12,-,-,IGNORED,-1,-1
205,hard,15,13:22:38,-,-,IGNORED,-1,-1
177,hard,15,13:25:12,-,-,IGNORED,-1,-1
206,hard,15,13:27:42,-,-,IGNORED,-1,-1
175,hard,15,13:29:56,-,-,IGNORED,-1,-1
198,hard,15,13:30:02,-,-,IGNORED,-1,-1
209,hard,15,13:30:13,-,-,IGNORED,-1,-1
196,hard,15,13:30:55,-,-,IGNORED,-1,-1
188,hard,15,13:31:10,-,-,IGNORED,-1,-1
189,hard,15,13:34:58,-,-,IGNORED,-1,-1
203,hard,15,13:35:39,-,-,IGNORED,-1,-1
186,hard,15,13:36:07,-,-,IGNORED,-1,-1
195,hard,15,13:41:44,-,-,IGNORED,-1,-1
202,hard,15,13:46:20,-,-,IGNORED,-1,-1
182,hard,15,13:47:53,-,-,IGNORED,-1,-1
199,hard,15,13:49:33,-,-,IGNORED,-1,-1
193,hard,15,13:51:18,-,-,IGNORED,-1,-1
208,hard,15,13:51:43,-,-,IGNORED,-1,-1
191,hard,15,13:53:22,-,-,IGNORED,-1,-1
197,hard,15,13:54:12,-,-,IGNORED,-1,-1
187,hard,15,13:54:16,-,-,IGNORED,-1,-1
190,hard,15,13:55:55,-,-,IGNORED,-1,-1
178,hard,15,13:56:22,-,-,IGNORED,-1,-1
213,hard,15,14:01:01,-,-,IGNORED,-1,-1
219,hard,15,14:01:07,-,-,IGNORED,-1,-1
212,hard,15,14:04:50,-,-,IGNORED,-1,-1
242,hard,15,14:04:56,-,-,IGNORED,-1,-1
222,hard,15,14:05:56,-,-,IGNORED,-1,-1
225,hard,15,14:06:54,-,-,IGNORED,-1,-1
216,hard,15,14:08:29,-,-,IGNORED,-1,-1
232,hard,15,14:10:46,-,-,IGNORED,-1,-1
221,hard,15,14:11:10,-,-,IGNORED,-1,-1
227,hard,15,14:11:56,-,-,IGNORED,-1,-1
226,hard,15,14:13:22,-,-,IGNORED,-1,-1
239,hard,15,14:13:48,-,-,IGNORED,-1,-1
241,hard,15,14:21:12,-,-,IGNORED,-1,-1
217,hard,15,14:22:13,-,-,IGNORED,-1,-1
230,hard,15,14:23:13,-,-,IGNORED,-1,-1
211,hard,15,14:25:42,-,-,IGNORED,-1,-1
237,hard,15,14:34:52,-,-,IGNORED,-1,-1
215,hard,15,14:36:06,-,-,IGNORED,-1,-1
218,hard,15,14:38:04,-,-,IGNORED,-1,-1
240,hard,15,14:39:14,-,-,IGNORED,-1,-1
244,hard,15,14:41:57,-,-,IGNORED,-1,-1
235,hard,15,14:42:11,-,-,IGNORED,-1,-1
231,hard,15,14:43:22,-,-,IGNORED,-1,-1
223,hard,15,14:44:56,-,-,IGNORED,-1,-1
228,hard,15,14:48:23,-,-,IGNORED,-1,-1
236,hard,15,14:48:23,-,-,IGNORED,-1,-1
238,hard,15,14:50:21,-,-,IGNORED,-1,-1
224,hard,15,14:50:55,-,-,IGNORED,-1,-1
214,hard,15,14:52:45,-,-,IGNORED,-1,-1
229,hard,15,14:53:57,-,-,IGNORED,-1,-1
210,hard,15,14:54:03,-,-,IGNORED,-1,-1
234,hard,15,14:54:14,-,-,IGNORED,-1,-1
220,hard,15,14:55:12,-,-,IGNORED,-1,-1
233,hard,15,14:58:00,-,-,IGNORED,-1,-1
243,hard,15,14:59:55,-,-,IGNORED,-1,-1
260,hard,15,15:00:46,-,-,IGNORED,-1,-1
276,hard,15,15:02:37,-,-,IGNORED,-1,-1
262,hard,15,15:03:03,-,-,IGNORED,-1,-1
259,hard,15,15:04:47,-,-,IGNORED,-1,-1
250,hard,15,15:06:17,-,-,IGNORED,-1,-1
277,hard,15,15:08:48,-,-,IGNORED,-1,-1
264,hard,15,15:09:26,-,-,IGNORED,-1,-1
272,hard,15,15:13:27,-,-,IGNORED,-1,-1
248,hard,15,15:13:34,-,-,IGNORED,-1,-1
273,hard,15,15:14:02,-,-,IGNORED,-1,-1
270,hard,15,15:15:19,-,-,IGNORED,-1,-1
255,hard,15,15:16:04,-,-,IGNORED,-1,-1
265,hard,15,15:16:42,-,-,IGNORED,-1,-1
245,hard,15,15:18:25,-,-,IGNORED,-1,-1
279,hard,15,15:18:28,-,-,IGNORED,-1,-1
253,hard,15,15:20:55,-,-,IGNORED,-1,-1
275,hard,15,15:21:00,-,-,IGNORED,-1,-1
269,hard,15,15:24:10,-,-,IGNORED,-1,-1
263,hard,15,15:29:44,-,-,IGNORED,-1,-1
249,hard,15,15:31:01,-,-,IGNORED,-1,-1
254,hard,15,15:32:19,-,-,IGNORED,-1,-1
247,hard,15,15:34:08,-,-,IGNORED,-1,-1
267,hard,15,15:39:06,-,-,IGNORED,-1,-1
257,hard,15,15:40:57,-,-,IGNORED,-1,-1
261,hard,15,15:44:30,-,-,IGNORED,-1,-1
274,hard,15,15:47:24,-,-,IGNORED,-1,-1
278,hard,15,15:48:04,-,-,IGNORED,-1,-1
258,hard,15,15:48:14,-,-,IGNORED,-1,-1
252,hard,15,15:48:32,-,-,IGNORED,-1,-1
266,hard,15,15:55:59,-,-,IGNORED,-1,-1
256,hard,15,15:56:32,-,-,IGNORED,-1,-1
268,hard,15,15:56:49,-,-,IGNORED,-1,-1
271,hard,15,15:57:30,-,-,IGNORED,-1,-1
246,hard,15,15:59:01,-,-,IGNORED,-1,-1
251,hard,15,15:59:48,-,-,IGNORED,-1,-1
297,hard,15,16:02:26,-,-,IGNORED,-1,-1
289,hard,15,16:02:53,-,-,IGNORED,-1,-1
295,hard,15,16:03:41,-,-,IGNORED,-1,-1
