task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec,waiting_time_mili_sec,time_in_system_mili_sec
29,easy,12,08:03:32,08:03:36,08:04:38,COMPLETED,27187.0,1026.0,4.48,66.02
8,easy,12,08:05:24,08:05:26,08:06:26,COMPLETED,21874.0,1004.7,2.20,62.47
12,medium,13,08:04:28,08:04:31,08:07:14,COMPLETED,30477.0,2713.1,3.88,166.63
23,easy,12,08:07:10,08:07:14,08:07:50,COMPLETED,32142.0,602.9,4.63,40.79
10,medium,13,08:08:41,08:08:44,08:09:51,COMPLETED,31200.0,1104.5,3.91,70.16
25,easy,11,08:09:56,08:09:57,08:10:15,COMPLETED,30512.0,301.9,1.21,19.36
19,medium,14,08:09:52,08:09:57,08:16:16,COMPLETED,22786.0,6329.4,5.21,384.97
16,easy,12,08:16:17,08:16:23,08:16:35,COMPLETED,25540.0,202.0,6.01,18.11
15,medium,13,08:15:41,08:15:46,08:17:05,COMPLETED,28970.0,1309.4,5.70,84.25
22,medium,13,08:14:37,08:14:40,08:20:18,COMPLETED,23971.0,5630.1,3.28,341.08
27,easy,12,08:18:38,08:18:41,08:20:30,COMPLETED,27348.0,1810.0,3.61,112.19
9,easy,12,08:20:19,08:20:24,08:21:12,COMPLETED,28159.0,807.3,5.12,53.53
17,easy,12,08:21:15,08:21:18,08:21:42,COMPLETED,29479.0,403.1,3.61,27.78
26,easy,12,08:21:04,08:21:06,08:21:48,COMPLETED,38519.0,707.3,2.39,44.82
4,easy,11,08:22:34,08:22:37,08:22:43,COMPLETED,21806.0,102.6,3.04,9.16
5,easy,12,08:29:27,08:29:32,08:29:38,COMPLETED,29702.0,101.4,5.81,11.87
20,easy,11,08:33:17,08:33:21,08:33:33,COMPLETED,30130.0,203.5,4.79,16.96
2,medium,13,08:37:18,08:37:23,08:38:05,COMPLETED,27158.0,705.7,5.15,47.47
24,easy,11,08:38:13,08:38:17,08:38:41,COMPLETED,20357.0,402.8,4.54,28.69
6,medium,14,08:27:11,08:27:14,08:38:53,COMPLETED,27775.0,11658.8,3.25,702.76
28,easy,11,08:40:53,08:40:54,08:41:00,COMPLETED,24622.0,101.5,1.21,7.28
11,easy,12,08:41:26,08:41:30,08:42:30,COMPLETED,31704.0,1005.6,4.41,64.72
3,medium,13,08:40:30,08:40:30,08:43:37,COMPLETED,32372.0,3116.3,0.07,187.03
18,easy,11,08:47:58,08:48:02,08:48:14,COMPLETED,22542.0,202.4,4.20,16.32
0,medium,13,08:48:53,08:48:56,08:52:52,COMPLETED,30434.0,3930.5,3.56,239.46
21,easy,12,08:57:36,08:57:36,08:58:12,COMPLETED,28057.0,606.7,0.08,36.46
46,medium,13,09:00:46,09:00:49,09:04:21,COMPLETED,33066.0,3531.7,3.65,215.53
1,medium,14,08:46:53,08:46:55,09:07:28,COMPLETED,36482.0,20551.8,2.81,1235.88
31,medium,14,09:06:31,09:06:34,09:10:18,COMPLETED,26519.0,3734.2,3.36,227.36
45,easy,12,09:12:28,09:12:31,09:13:37,COMPLETED,31355.0,1109.8,3.14,69.69
43,easy,12,09:13:58,09:14:01,09:14:38,COMPLETED,22945.0,605.1,3.86,40.14
35,easy,12,09:15:18,09:15:20,09:15:44,COMPLETED,26554.0,403.6,2.38,26.57
53,medium,13,09:19:32,09:19:34,09:20:10,COMPLETED,31333.0,606.7,2.02,38.37
40,easy,11,09:22:39,09:22:41,09:22:47,COMPLETED,26767.0,102.9,2.53,8.68
36,easy,12,09:23:28,09:23:30,09:24:00,COMPLETED,30268.0,506.4,2.01,32.34
42,easy,11,09:24:48,09:24:48,09:25:00,COMPLETED,26352.0,202.4,0.73,12.84
51,easy,12,09:26:00,09:26:01,09:26:55,COMPLETED,24375.0,908.0,1.24,55.65
32,easy,11,09:26:50,09:26:55,09:27:50,COMPLETED,28433.0,908.1,5.65,60.10
33,easy,11,09:31:23,09:31:27,09:31:33,COMPLETED,29917.0,103.7,4.80,10.96
54,easy,11,09:32:36,09:32:40,09:32:58,COMPLETED,31164.0,304.4,4.60,22.79
56,easy,11,09:33:15,09:33:17,09:33:23,COMPLETED,26766.0,101.8,2.01,8.09
37,easy,11,09:36:27,09:36:30,09:36:36,COMPLETED,26420.0,101.9,3.60,9.69
59,easy,12,09:38:07,09:38:07,09:38:43,COMPLETED,29980.0,606.4,0.34,36.65
52,easy,12,09:38:38,09:38:43,09:39:26,COMPLETED,30517.0,707.3,5.65,48.04
55,easy,12,09:41:46,09:41:51,09:42:15,COMPLETED,28918.0,408.0,5.53,29.93
57,medium,13,09:37:07,09:37:12,09:43:28,COMPLETED,32951.0,6265.3,5.93,381.78
39,medium,13,09:43:51,09:43:53,09:45:05,COMPLETED,30457.0,1214.7,2.09,74.90
41,medium,14,09:40:40,09:40:44,09:46:48,COMPLETED,25809.0,6069.9,4.73,368.88
47,medium,13,09:47:44,09:47:49,09:49:44,COMPLETED,22943.0,1916.1,5.29,120.22
50,medium,14,09:48:46,09:48:49,09:51:57,COMPLETED,32917.0,3127.0,3.74,191.31
34,easy,11,09:50:43,09:50:44,09:52:03,COMPLETED,27427.0,1312.7,1.66,80.39
38,easy,11,09:52:05,09:52:09,09:52:15,COMPLETED,21332.0,102.0,4.45,10.54
30,easy,12,09:56:55,09:56:59,09:58:42,COMPLETED,30359.0,1722.1,4.30,107.55
7,hard,15,08:44:44,08:44:49,10:00:25,COMPLETED,27771.0,75603.3,5.27,4541.46
76,medium,13,10:00:39,10:00:43,10:01:19,COMPLETED,32337.0,606.1,4.60,40.93
48,medium,14,09:57:47,09:57:47,10:05:40,COMPLETED,32068.0,7873.8,0.76,473.12
75,easy,11,10:07:28,10:07:29,10:07:47,COMPLETED,30375.0,305.9,1.64,19.91
84,medium,13,10:05:46,10:05:46,10:08:06,COMPLETED,23426.0,2333.5,0.24,140.18
67,easy,11,10:09:49,10:09:49,10:09:55,COMPLETED,24299.0,104.2,0.33,6.51
58,medium,14,09:56:43,09:56:47,10:10:31,COMPLETED,38702.0,13748.1,4.17,828.99
78,easy,12,10:10:01,10:10:01,10:11:08,COMPLETED,26535.0,1113.3,0.62,67.38
87,medium,13,10:12:13,10:12:14,10:15:28,COMPLETED,25686.0,3229.5,1.88,195.61
63,easy,12,10:16:54,10:16:59,10:17:30,COMPLETED,33690.0,510.0,5.54,36.05
82,medium,13,10:15:07,10:15:10,10:17:42,COMPLETED,31560.0,2532.8,3.40,155.28
86,easy,11,10:22:04,10:22:09,10:22:39,COMPLETED,35645.0,506.7,5.13,35.47
65,medium,13,10:15:53,10:15:58,10:28:19,COMPLETED,37937.0,12338.3,5.90,746.01
14,hard,15,08:48:52,08:48:56,10:31:39,COMPLETED,33887.0,102720.9,4.56,6167.79
44,hard,15,09:01:07,09:01:07,10:34:17,COMPLETED,26388.0,93163.6,0.93,5590.70
70,easy,12,10:33:52,10:33:53,10:34:35,COMPLETED,31435.0,709.7,1.41,43.94
69,medium,13,10:34:17,10:34:17,10:35:24,COMPLETED,26270.0,1113.7,0.70,67.47
85,easy,12,10:34:54,10:34:54,10:35:30,COMPLETED,34420.0,607.9,0.13,36.55
74,easy,11,10:36:33,10:36:37,10:36:55,COMPLETED,26410.0,305.2,4.25,22.51
89,medium,14,10:28:16,10:28:19,10:37:13,COMPLETED,28276.0,8912.4,3.01,537.72
73,easy,12,10:35:32,10:35:36,10:37:19,COMPLETED,34318.0,1720.2,4.62,107.80
64,medium,14,10:03:58,10:04:03,10:37:25,COMPLETED,31377.0,33379.9,5.09,2007.86
71,easy,11,10:40:29,10:40:33,10:40:39,COMPLETED,21492.0,102.6,4.62,10.71
68,easy,12,10:41:45,10:41:46,10:41:58,COMPLETED,31839.0,204.6,1.45,13.68
81,medium,14,10:43:49,10:43:53,10:46:37,COMPLETED,32609.0,2725.4,4.86,168.35
77,easy,11,10:47:10,10:47:13,10:47:19,COMPLETED,21455.0,102.7,3.66,9.78
83,medium,13,10:44:52,10:44:54,10:47:56,COMPLETED,32532.0,3029.9,2.39,184.14
66,easy,11,10:54:59,10:55:00,10:55:07,COMPLETED,18326.0,102.6,1.91,8.02
88,easy,12,10:56:04,10:56:07,10:56:19,COMPLETED,20453.0,203.3,3.54,15.70
80,medium,14,10:23:43,10:23:46,11:00:33,COMPLETED,24289.0,36797.2,3.10,2210.90
118,easy,12,11:00:34,11:00:39,11:01:22,COMPLETED,30252.0,709.0,5.97,48.47
79,medium,14,10:31:40,10:31:45,11:01:52,COMPLETED,26185.0,30114.0,5.93,1812.74
100,medium,13,11:06:09,11:06:13,11:08:14,COMPLETED,27898.0,2027.9,4.06,125.69
98,easy,12,11:14:59,11:15:00,11:15:25,COMPLETED,28067.0,407.4,1.90,26.30
96,easy,12,11:17:02,11:17:02,11:17:45,COMPLETED,27649.0,712.0,0.66,43.29
106,medium,14,11:04:37,11:04:42,11:19:46,COMPLETED,33116.0,15079.1,5.08,909.78
101,easy,11,11:19:17,11:19:22,11:19:46,COMPLETED,30650.0,406.0,5.49,29.78
111,easy,12,11:21:01,11:21:05,11:21:23,COMPLETED,26036.0,304.9,4.59,22.82
90,medium,13,11:20:22,11:20:23,11:21:42,COMPLETED,27815.0,1316.0,1.14,80.04
113,easy,11,11:22:13,11:22:18,11:22:24,COMPLETED,21967.0,102.6,5.40,11.52
117,hard,15,11:10:33,11:10:33,11:26:15,COMPLETED,34672.0,15687.4,0.89,942.05
119,medium,14,11:25:20,11:25:20,11:29:30,COMPLETED,34126.0,4168.0,0.28,250.28
91,easy,11,11:29:46,11:29:48,11:30:00,COMPLETED,27356.0,207.1,2.61,14.94
104,easy,12,11:27:35,11:27:40,11:30:25,COMPLETED,24874.0,2747.4,5.45,170.24
93,medium,14,11:22:31,11:22:36,11:30:49,COMPLETED,34729.0,8216.0,5.64,498.55
114,easy,12,11:30:35,11:30:37,11:31:56,COMPLETED,23933.0,1314.2,2.38,81.18
72,hard,15,10:14:08,10:14:09,11:32:02,COMPLETED,31583.0,77874.5,1.81,4674.25
62,hard,15,10:47:20,10:47:25,11:33:57,COMPLETED,34364.0,46523.9,5.85,2797.26
92,easy,11,11:33:26,11:33:26,11:33:57,COMPLETED,31344.0,506.4,0.93,31.26
61,hard,15,10:50:01,10:50:03,11:35:27,COMPLETED,33501.0,45410.9,2.34,2726.95
97,easy,12,11:40:31,11:40:31,11:40:43,COMPLETED,28159.0,205.6,0.30,12.56
94,medium,13,11:39:43,11:39:48,11:40:55,COMPLETED,29199.0,1119.1,5.68,72.76
60,hard,15,10:06:01,10:06:04,11:41:01,COMPLETED,27706.0,94956.9,3.47,5700.87
99,medium,13,11:36:29,11:36:34,11:42:44,COMPLETED,34409.0,6169.5,5.56,375.70
116,medium,14,11:27:03,11:27:03,11:48:11,COMPLETED,35935.0,21127.8,0.76,1268.40
103,easy,11,11:48:32,11:48:35,11:48:47,COMPLETED,26206.0,205.0,3.74,15.97
105,medium,13,11:48:26,11:48:29,11:50:24,COMPLETED,32122.0,1925.9,3.58,118.98
112,medium,13,11:50:22,11:50:24,11:50:43,COMPLETED,33499.0,306.5,2.98,21.29
109,easy,11,11:52:36,11:52:38,11:52:50,COMPLETED,30988.0,203.0,2.35,14.49
