task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec,waiting_time_mili_sec,time_in_system_mili_sec
28,hard,15,08:04:53,08:04:56,08:28:30,COMPLETED,36187.0,23575.1,3.07,1417.49
44,hard,15,08:30:56,08:30:57,08:39:37,COMPLETED,31932.0,8680.4,1.30,521.80
15,hard,15,08:24:31,08:24:36,08:40:21,COMPLETED,35278.0,15747.4,5.72,950.46
38,hard,15,08:00:51,08:00:54,08:42:55,COMPLETED,36238.0,42029.3,3.17,2524.92
12,hard,15,08:27:56,08:27:59,08:44:40,COMPLETED,30373.0,16692.0,3.52,1004.91
27,hard,15,08:38:53,08:38:53,08:47:54,COMPLETED,25281.0,9019.1,0.83,541.80
8,hard,15,08:19:29,08:19:31,08:53:19,COMPLETED,33166.0,33803.6,2.24,2030.37
36,hard,15,08:10:09,08:10:11,08:55:29,COMPLETED,37597.0,45310.7,2.16,2720.77
34,hard,15,08:39:03,08:39:06,09:01:52,COMPLETED,28929.0,22765.2,3.52,1369.31
4,hard,15,08:40:06,08:40:09,09:06:08,COMPLETED,31286.0,25993.8,3.03,1562.54
5,hard,15,08:38:21,08:38:22,09:06:33,COMPLETED,32985.0,28183.1,1.64,1692.47
20,hard,15,08:50:30,08:50:31,09:07:54,COMPLETED,24628.0,17391.4,1.41,1044.71
31,hard,15,08:50:43,08:50:44,09:09:28,COMPLETED,27608.0,18736.7,1.22,1125.27
18,hard,15,08:16:23,08:16:28,09:10:11,COMPLETED,30701.0,53729.5,5.12,3228.84
19,hard,15,08:16:08,08:16:09,09:11:14,COMPLETED,32418.0,55073.8,1.78,3306.16
46,hard,15,08:14:03,08:14:07,09:12:16,COMPLETED,39239.0,58142.9,4.92,3493.41
41,hard,15,08:55:07,08:55:11,09:14:35,COMPLETED,34819.0,19405.5,4.14,1168.22
24,hard,15,08:32:36,08:32:41,09:15:06,COMPLETED,31513.0,42423.8,5.70,2550.99
7,hard,15,08:21:16,08:21:20,09:15:50,COMPLETED,34025.0,54499.4,4.91,3274.82
