task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec,waiting_time_mili_sec,time_in_system_mili_sec
34,easy,12,08:00:44,08:00:48,08:01:36,COMPLETED,24108.0,805.2,4.60,52.89
29,medium,13,08:01:03,08:01:06,08:02:37,COMPLETED,34340.0,1507.2,3.72,94.14
13,easy,12,08:03:20,08:03:25,08:05:07,COMPLETED,26765.0,1711.3,5.30,107.95
6,medium,13,08:04:37,08:04:37,08:06:26,COMPLETED,24214.0,1815.2,0.72,109.60
4,medium,14,08:00:32,08:00:36,08:07:15,COMPLETED,32557.0,6649.2,4.12,403.04
25,easy,12,08:07:08,08:07:08,08:07:45,COMPLETED,27267.0,607.0,0.90,37.30
35,medium,13,08:05:27,08:05:32,08:09:09,COMPLETED,25563.0,3630.5,5.11,222.92
48,medium,13,08:08:00,08:08:03,08:09:34,COMPLETED,36633.0,1511.4,3.43,94.09
47,easy,12,08:12:32,08:12:34,08:12:58,COMPLETED,26702.0,402.7,2.73,26.87
40,easy,11,08:14:06,08:14:11,08:14:23,COMPLETED,26847.0,202.5,5.26,17.38
38,medium,13,08:16:10,08:16:12,08:17:13,COMPLETED,29758.0,1014.6,2.24,63.09
36,easy,11,08:16:42,08:16:42,08:17:19,COMPLETED,25356.0,610.0,0.62,37.16
32,easy,12,08:19:07,08:19:08,08:19:38,COMPLETED,24416.0,509.6,1.35,31.86
45,easy,11,08:20:02,08:20:03,08:20:33,COMPLETED,26629.0,508.4,1.18,31.65
41,easy,12,08:29:24,08:29:27,08:30:21,COMPLETED,32625.0,916.6,3.02,57.93
1,easy,12,08:30:29,08:30:34,08:30:58,COMPLETED,28047.0,409.4,5.11,29.58
0,easy,12,08:31:38,08:31:41,08:32:23,COMPLETED,25356.0,710.0,3.21,45.75
44,hard,15,08:17:19,08:17:19,08:34:25,COMPLETED,35680.0,17098.3,0.16,1026.02
24,easy,11,08:36:43,08:36:44,08:37:14,COMPLETED,24975.0,510.0,1.40,31.90
39,medium,14,08:17:43,08:17:43,08:38:34,COMPLETED,26497.0,20845.1,0.43,1251.07
26,medium,13,08:38:47,08:38:52,08:40:54,COMPLETED,26932.0,2037.7,5.37,127.54
33,easy,11,08:43:27,08:43:27,08:43:51,COMPLETED,31113.0,408.6,0.06,24.48
49,easy,11,08:44:52,08:44:52,08:45:04,COMPLETED,23841.0,205.2,0.26,12.45
31,easy,11,08:46:11,08:46:11,08:46:23,COMPLETED,23940.0,205.2,0.39,12.61
21,easy,12,08:48:48,08:48:49,08:49:13,COMPLETED,21885.0,407.7,1.46,25.84
9,medium,13,08:44:59,08:45:04,08:51:58,COMPLETED,28564.0,6904.4,5.45,419.63
30,medium,14,08:11:34,08:11:34,08:52:23,COMPLETED,37894.0,40810.3,0.47,2449.07
37,medium,13,08:31:59,08:31:59,08:52:59,COMPLETED,34007.0,21004.9,0.45,1260.70
16,medium,14,08:40:31,08:40:36,08:53:11,COMPLETED,34410.0,12597.8,5.09,760.92
10,hard,15,08:39:52,08:39:53,08:53:54,COMPLETED,30627.0,14022.7,1.36,842.65
18,easy,12,08:56:14,08:56:15,08:57:59,COMPLETED,29559.0,1733.1,1.41,105.28
7,medium,13,08:55:25,08:55:26,08:59:37,COMPLETED,30451.0,4179.0,1.38,252.04
22,easy,12,08:58:54,08:58:54,08:59:43,COMPLETED,29974.0,816.9,0.24,49.16
3,medium,14,08:51:34,08:51:34,09:00:13,COMPLETED,29523.0,8660.3,0.14,519.69
12,easy,12,08:59:23,08:59:24,09:01:45,COMPLETED,33848.0,2343.4,1.80,142.25
65,easy,12,09:02:16,09:02:22,09:02:34,COMPLETED,25398.0,209.2,6.08,18.49
51,easy,11,09:02:27,09:02:28,09:02:34,COMPLETED,21383.0,106.8,1.25,7.49
99,medium,13,09:01:09,09:01:14,09:05:14,COMPLETED,38283.0,3998.5,5.62,245.39
90,medium,13,09:07:39,09:07:41,09:10:20,COMPLETED,34353.0,2648.9,2.47,161.29
52,easy,12,09:09:21,09:09:25,09:11:03,COMPLETED,32435.0,1631.0,4.28,102.05
64,easy,11,09:11:57,09:11:57,09:12:10,COMPLETED,23754.0,205.7,0.95,13.20
92,easy,11,09:13:35,09:13:36,09:13:48,COMPLETED,28918.0,209.8,1.35,13.76
84,medium,13,09:13:24,09:13:24,09:13:54,COMPLETED,25161.0,518.6,0.05,30.99
62,medium,14,09:08:07,09:08:11,09:18:51,COMPLETED,38161.0,10656.1,5.00,644.27
2,hard,15,08:56:01,08:56:03,09:20:47,COMPLETED,29151.0,24745.4,2.17,1486.82
58,hard,15,09:12:45,09:12:46,09:21:00,COMPLETED,32534.0,8220.7,1.93,495.09
79,easy,11,09:21:58,09:22:01,09:22:07,COMPLETED,29131.0,105.1,3.31,9.51
89,medium,13,09:14:11,09:14:13,09:22:19,COMPLETED,33994.0,8105.3,2.53,488.77
59,medium,14,09:19:09,09:19:09,09:22:19,COMPLETED,29084.0,3170.9,0.63,190.77
63,medium,13,09:19:35,09:19:40,09:22:56,COMPLETED,31539.0,3273.6,5.28,201.60
97,easy,11,09:22:49,09:22:50,09:23:02,COMPLETED,28701.0,207.3,1.43,13.74
77,easy,12,09:22:42,09:22:44,09:23:15,COMPLETED,28871.0,514.7,2.24,33.03
43,hard,15,08:50:54,08:50:57,09:25:24,COMPLETED,31101.0,34452.8,3.36,2070.43
85,medium,13,09:25:11,09:25:11,09:25:43,COMPLETED,24303.0,521.8,0.97,32.11
94,easy,12,09:25:31,09:25:36,09:26:45,COMPLETED,33215.0,1142.1,5.83,74.17
61,easy,12,09:27:15,09:27:16,09:27:53,COMPLETED,28626.0,623.8,1.23,38.52
71,medium,13,09:32:16,09:32:18,09:32:55,COMPLETED,26427.0,616.8,2.27,39.14
19,hard,15,08:25:41,08:25:42,09:33:01,COMPLETED,30688.0,67320.8,1.08,4040.30
81,medium,14,09:30:53,09:30:58,09:33:38,COMPLETED,25660.0,2663.1,5.44,165.09
