task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec
14,easy,12,08:01:49,08:01:54,08:03:02,COMPLETED,32525.0,1.1447
13,easy,12,08:03:20,08:03:20,08:03:44,COMPLETED,30181.05875070317,0.3907
0,easy,11,08:04:34,08:04:38,08:05:36,COMPLETED,36195.5574898921,0.9699
4,easy,11,08:08:56,08:09:01,08:09:52,COMPLETED,35913.148483780526,0.8721
15,easy,12,08:14:29,08:14:29,08:16:24,COMPLETED,30612.0,1.9176
1,easy,12,08:19:16,08:19:19,08:20:29,COMPLETED,32396.539964260926,1.1725
3,easy,11,08:20:11,08:20:35,08:21:09,COMPLETED,34917.625046018205,0.5677
9,easy,12,08:27:59,08:28:04,08:29:17,COMPLETED,30369.723722623494,1.2164
19,easy,12,08:32:14,08:32:17,08:33:22,COMPLETED,28690.0,1.0783
17,medium,13,08:34:34,08:34:34,08:36:45,COMPLETED,22304.0,2.1919
6,easy,11,08:34:54,08:36:51,08:37:15,COMPLETED,19321.533265651313,0.3953
18,easy,11,08:39:53,08:39:57,08:40:43,COMPLETED,32205.976624507763,0.7650
7,easy,11,08:41:23,08:41:26,08:41:53,COMPLETED,28993.42051233425,0.4649
10,easy,12,08:47:12,08:47:12,08:48:11,COMPLETED,25430.0,0.9829
2,easy,12,08:49:01,08:49:05,08:50:29,COMPLETED,28548.579131529637,1.4026
11,hard,15,08:51:01,08:51:05,08:54:06,COMPLETED,28842.080589320023,3.0237
5,medium,13,08:51:19,08:54:13,08:56:18,COMPLETED,34567.0,2.0888
16,easy,11,08:54:20,08:56:24,08:57:10,COMPLETED,21649.31863054325,0.7798
8,easy,11,08:57:24,08:57:29,08:57:40,COMPLETED,27710.203245308385,0.1968
12,easy,11,08:57:25,08:57:47,08:57:58,COMPLETED,29280.86471279631,0.1845
28,easy,12,09:02:09,09:02:10,09:03:21,COMPLETED,25073.0,1.1783
25,hard,16,09:07:16,09:07:21,09:21:16,COMPLETED,27407.1168820016,13.9241
37,easy,12,09:11:00,09:21:23,09:22:40,COMPLETED,27799.0,1.3056
29,easy,12,09:13:12,09:22:47,09:23:31,COMPLETED,24954.086285515583,0.7361
38,easy,12,09:16:27,09:23:37,09:24:13,COMPLETED,29702.0,0.5891
39,easy,11,09:21:01,09:24:19,09:25:06,COMPLETED,21700.88159156462,0.7990
21,easy,12,09:23:31,09:25:13,09:26:20,COMPLETED,39830.407435991765,1.1191
36,easy,11,09:25:44,09:26:26,09:27:06,COMPLETED,31283.377538495493,0.6649
32,easy,12,09:27:11,09:27:12,09:27:35,COMPLETED,33752.0,0.3974
27,easy,11,09:27:39,09:27:42,09:28:03,COMPLETED,27996.0,0.3650
20,medium,13,09:30:31,09:30:34,09:33:40,COMPLETED,37323.0,3.1130
34,easy,11,09:31:13,09:33:47,09:34:08,COMPLETED,24868.337459054215,0.3591
30,hard,16,09:34:06,09:34:14,09:44:26,COMPLETED,30871.0,10.2068
24,medium,13,09:37:39,09:44:33,09:46:08,COMPLETED,31466.0,1.6034
23,easy,11,09:43:45,09:46:15,09:46:30,COMPLETED,29366.21815984153,0.2624
35,easy,11,09:47:05,09:47:07,09:47:23,COMPLETED,22793.61812070931,0.2790
31,medium,13,09:50:33,09:50:36,09:52:35,COMPLETED,35654.20687419214,1.9908
33,easy,12,09:54:41,09:54:42,09:55:46,COMPLETED,34039.60992723482,1.0720
22,easy,12,09:55:01,09:55:52,09:56:20,COMPLETED,31738.0,0.4722
26,medium,13,09:57:57,09:58:02,09:59:33,COMPLETED,23091.0,1.5273
55,medium,14,10:04:12,10:04:17,10:06:53,COMPLETED,28657.0,2.6044
53,hard,16,10:06:34,10:06:59,10:19:17,COMPLETED,41076.0,12.3114
46,medium,14,10:12:01,10:19:24,10:23:24,COMPLETED,39456.0,4.0282
