real_duration_sec,waiting_time_sec,task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,time_in_system_sec
3.0355,5.12,25,hard,15,08:00:25,08:00:30,08:03:31,COMPLETED,33980.0,186.22
2.3137,1.46,1,medium,14,08:05:37,08:05:38,08:07:56,COMPLETED,36286.0,139.98
0.8936,86.32,29,easy,12,08:06:37,08:08:03,08:08:56,COMPLETED,24989.0,139.14
0.9744,5.11,20,easy,12,08:10:28,08:10:33,08:11:31,COMPLETED,26951.655990228166,63.35
0.7841,36.60,28,easy,12,08:11:01,08:11:37,08:12:24,COMPLETED,31212.0,83.47
2.7152,0.84,15,medium,14,08:13:36,08:13:36,08:16:19,COMPLETED,39982.0,163.40
0.3743,110.78,23,easy,11,08:14:35,08:16:25,08:16:48,COMPLETED,28221.738837427438,133.04
5.6461,4.26,19,hard,15,08:16:50,08:16:54,08:22:32,COMPLETED,30587.0,342.67
1.1736,218.05,5,easy,12,08:19:01,08:22:39,08:23:49,COMPLETED,31399.8757735147,288.22
0.2710,54.49,2,easy,11,08:23:01,08:23:55,08:24:11,COMPLETED,24757.0,70.57
0.5799,60.78,14,easy,12,08:23:17,08:24:17,08:24:52,COMPLETED,27535.0,95.22
2.8519,4.60,26,hard,15,08:24:54,08:24:58,08:27:49,COMPLETED,35159.0,175.35
0.9788,2.10,4,easy,12,08:32:18,08:32:20,08:33:18,COMPLETED,33940.0,60.44
2.1013,52.86,17,medium,14,08:32:32,08:33:24,08:35:30,COMPLETED,28407.0,178.62
0.5730,62.96,13,easy,11,08:34:34,08:35:36,08:36:11,COMPLETED,28796.201368689563,97.06
1.1971,34.37,6,medium,13,08:35:43,08:36:17,08:37:28,COMPLETED,25528.0,105.93
2.7535,0.37,3,hard,15,08:39:23,08:39:23,08:42:07,COMPLETED,32577.0,164.34
1.5351,144.62,0,medium,13,08:39:50,08:42:14,08:43:46,COMPLETED,33938.0,236.47
1.7980,146.75,18,medium,13,08:41:26,08:43:52,08:45:40,COMPLETED,38105.0,254.02
0.9649,1.70,24,easy,11,08:46:15,08:46:16,08:47:14,COMPLETED,26014.0,59.37
11.8622,1.88,9,hard,15,08:50:37,08:50:38,09:02:30,COMPLETED,36476.900068452,713.25
2.9123,676.64,27,medium,14,08:51:20,09:02:36,09:05:30,COMPLETED,32539.0,850.91
5.5561,811.41,8,hard,15,08:52:06,09:05:37,09:11:10,COMPLETED,33554.0,1144.19
0.7649,1146.80,16,easy,11,08:52:10,09:11:16,09:12:02,COMPLETED,26548.70994140758,1192.50
0.4783,1155.72,10,easy,11,08:52:53,09:12:08,09:12:37,COMPLETED,25488.267092335514,1184.21
0.9937,1162.44,21,medium,13,08:53:21,09:12:43,09:13:42,COMPLETED,24076.0,1221.60
4.8741,1062.14,22,hard,15,08:56:07,09:13:49,09:18:40,COMPLETED,30950.0,1353.93
2.6948,1314.61,11,medium,13,08:56:53,09:18:47,09:21:29,COMPLETED,32946.0,1476.04
1.6940,1451.32,7,medium,13,08:57:24,09:21:35,09:23:16,COMPLETED,31725.889994206995,1552.71
0.4822,1491.99,12,easy,11,08:58:31,09:23:22,09:23:51,COMPLETED,29379.715029396484,1520.62
1.3082,1119.95,38,medium,13,09:05:18,09:23:57,09:25:16,COMPLETED,39493.0,1198.18
14.3120,1133.47,36,very hard,16,09:06:29,09:25:22,09:39:40,COMPLETED,33144.0,1991.77
0.8623,1854.21,42,easy,11,09:08:53,09:39:47,09:40:38,COMPLETED,25339.824097056968,1905.75
3.2407,1833.97,44,hard,15,09:10:11,09:40:44,09:43:58,COMPLETED,31992.0,2027.84
0.6882,1973.49,30,easy,12,09:11:12,09:44:05,09:44:46,COMPLETED,31955.363517908318,2014.53
0.6808,1797.81,55,easy,12,09:14:55,09:44:52,09:45:33,COMPLETED,32297.106629549555,1838.16
0.6954,1720.69,40,easy,12,09:16:59,09:45:39,09:46:21,COMPLETED,25503.48987008739,1762.19
2.2092,1754.44,46,medium,14,09:17:13,09:46:27,09:48:39,COMPLETED,29005.0,1886.68
2.1128,1734.01,43,medium,13,09:19:52,09:48:46,09:50:52,COMPLETED,28553.0,1860.50
0.9707,1523.80,37,easy,11,09:25:35,09:50:58,09:51:56,COMPLETED,26460.605293392997,1581.84
1.5889,1482.07,31,medium,13,09:27:21,09:52:03,09:53:38,COMPLETED,29462.0,1577.13
0.6690,1479.43,50,easy,11,09:29:05,09:53:44,09:54:23,COMPLETED,28052.230364606956,1518.95
0.3962,1207.61,48,easy,11,09:34:23,09:54:30,09:54:54,COMPLETED,29454.34181726695,1231.20
6.3460,1229.41,52,hard,15,09:34:31,09:55:00,10:01:20,COMPLETED,29469.027015461874,1609.52
1.0736,1589.20,32,easy,12,09:34:58,10:01:27,10:02:31,COMPLETED,23010.0,1653.37
12.7893,1643.64,54,hard,15,09:35:14,10:02:37,10:15:23,COMPLETED,38167.94310833064,2409.84
2.7389,2321.04,35,medium,14,09:36:50,10:15:31,10:18:15,COMPLETED,29759.0,2485.05
0.6664,2482.40,49,easy,11,09:36:59,10:18:21,10:19:01,COMPLETED,26416.499501097413,2522.17
0.1685,2508.41,58,easy,11,09:37:19,10:19:07,10:19:17,COMPLETED,37901.714383557,2518.31
0.4826,2435.55,41,easy,12,09:38:48,10:19:23,10:19:52,COMPLETED,27177.46111371031,2464.25
18.0025,2304.53,39,very hard,16,09:41:34,10:19:58,10:37:57,COMPLETED,36355.0,3383.38
0.8709,3219.72,51,easy,11,09:44:25,10:38:04,10:38:56,COMPLETED,24796.0,3271.39
4.6364,3056.02,34,hard,15,09:48:07,10:39:03,10:43:40,COMPLETED,37686.0,3333.63
1.6943,3204.24,59,easy,12,09:50:23,10:43:47,10:45:28,COMPLETED,39000.29435406372,3305.67
3.4231,3196.93,57,medium,14,09:52:18,10:45:34,10:48:59,COMPLETED,32134.0,3401.96
0.6843,3318.34,33,easy,11,09:53:48,10:49:06,10:49:47,COMPLETED,21909.0,3359.14
2.2184,3362.43,47,hard,15,09:53:51,10:49:53,10:52:06,COMPLETED,39804.0,3495.17
2.2283,3340.55,53,medium,14,09:56:32,10:52:12,10:54:25,COMPLETED,34289.0,3473.93
