task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec,waiting_time_mili_sec,time_in_system_mili_sec
8,medium,13,08:01:10,08:01:12,08:02:18,COMPLETED,26630.0,1110.4,2.16,68.77
6,easy,12,08:02:25,08:02:30,08:03:25,COMPLETED,26797.0,905.0,5.83,60.13
5,easy,11,08:21:35,08:21:39,08:22:15,COMPLETED,27678.0,603.1,4.36,40.53
7,medium,13,08:30:45,08:30:47,08:32:00,COMPLETED,29966.0,1211.6,2.46,75.14
1,hard,15,08:24:38,08:24:39,08:41:51,COMPLETED,30042.0,17199.1,1.97,1033.88
2,medium,14,08:29:55,08:29:59,08:41:58,COMPLETED,30311.0,11980.1,4.21,723.00
9,medium,13,08:40:45,08:40:45,08:45:47,COMPLETED,25998.0,5035.8,0.24,302.36
4,medium,13,08:40:17,08:40:21,08:47:59,COMPLETED,34016.0,7649.3,4.05,462.99
14,easy,11,09:05:42,09:05:46,09:05:52,COMPLETED,23604.0,101.4,4.43,10.50
11,easy,11,09:12:01,09:12:06,09:12:12,COMPLETED,25150.0,101.5,5.10,11.17
13,medium,13,09:10:58,09:10:59,09:12:48,COMPLETED,32220.0,1811.7,1.67,110.36
19,easy,11,09:13:00,09:13:00,09:13:24,COMPLETED,36328.0,403.8,0.44,24.63
15,medium,13,09:15:28,09:15:31,09:17:56,COMPLETED,39084.0,2414.7,3.24,148.11
0,hard,15,08:17:41,08:17:44,09:19:02,COMPLETED,35070.0,61299.5,3.51,3681.48
10,medium,13,09:18:41,09:18:44,09:20:50,COMPLETED,34308.0,2110.8,3.35,129.98
16,medium,13,09:17:42,09:17:43,09:24:27,COMPLETED,38871.0,6731.1,2.00,405.85
17,easy,12,09:28:09,09:28:10,09:28:34,COMPLETED,26704.0,403.7,1.62,25.84
3,hard,15,08:31:28,08:31:29,09:33:29,COMPLETED,28024.0,61998.4,1.79,3721.70
24,medium,13,10:00:43,10:00:46,10:01:59,COMPLETED,28444.0,1207.9,3.97,76.41
23,medium,13,10:17:42,10:17:45,10:20:09,COMPLETED,28618.0,2412.4,3.20,147.93
25,easy,12,10:27:56,10:27:59,10:28:54,COMPLETED,21086.0,905.3,3.85,58.15
26,easy,11,10:36:54,10:36:56,10:37:14,COMPLETED,31864.0,305.0,2.52,20.79
20,medium,13,10:35:37,10:35:37,10:38:45,COMPLETED,33303.0,3122.3,0.99,188.31
29,easy,11,10:39:31,10:39:33,10:40:09,COMPLETED,28623.0,604.5,2.53,38.78
22,easy,11,10:41:33,10:41:34,10:41:46,COMPLETED,26906.0,202.1,1.17,13.28
28,medium,13,10:43:42,10:43:46,10:46:42,COMPLETED,24466.0,2918.9,5.00,180.10
27,medium,14,10:42:44,10:42:46,10:58:34,COMPLETED,36095.0,15791.7,2.58,950.03
39,medium,13,11:01:13,11:01:16,11:03:17,COMPLETED,26510.0,2012.8,3.98,124.73
35,easy,11,11:04:58,11:05:00,11:05:12,COMPLETED,28586.0,202.4,2.20,14.32
34,easy,12,11:10:29,11:10:32,11:10:50,COMPLETED,27694.0,304.5,3.03,21.26
37,easy,11,11:16:45,11:16:46,11:16:52,COMPLETED,25602.0,101.8,1.14,7.22
33,easy,12,11:15:49,11:15:51,11:17:22,COMPLETED,27920.0,1510.4,2.80,93.40
18,hard,15,09:53:41,09:53:45,11:35:28,COMPLETED,32054.0,101716.6,4.25,6107.23
32,easy,11,11:50:49,11:50:50,11:51:27,COMPLETED,32238.0,604.7,1.75,38.01
30,medium,13,11:51:39,11:51:39,11:52:27,COMPLETED,26025.0,806.2,0.09,48.44
36,easy,11,11:56:12,11:56:16,11:56:28,COMPLETED,27470.0,202.4,4.64,16.76
45,easy,11,12:02:29,12:02:30,12:02:48,COMPLETED,27402.0,303.2,1.84,19.99
47,easy,11,12:16:02,12:16:05,12:16:23,COMPLETED,25294.0,304.4,3.61,21.86
49,easy,12,12:17:46,12:17:48,12:18:55,COMPLETED,27488.0,1111.4,2.55,69.17
48,easy,12,12:22:05,12:22:08,12:22:32,COMPLETED,28275.0,404.1,3.63,27.84
43,easy,11,12:25:14,12:25:15,12:25:28,COMPLETED,28902.0,202.7,1.88,14.00
21,medium,14,10:35:25,10:35:25,12:30:00,COMPLETED,42383.0,114570.5,0.82,6875.04
42,easy,12,12:36:17,12:36:20,12:36:32,COMPLETED,24186.0,202.7,3.67,15.80
46,hard,15,12:29:21,12:29:23,12:43:35,COMPLETED,29131.0,14203.0,2.74,854.85
40,medium,13,12:49:27,12:49:31,12:50:38,COMPLETED,33484.0,1108.0,4.90,71.35
44,medium,13,12:59:07,12:59:11,13:03:00,COMPLETED,31671.0,3825.5,4.37,233.87
12,hard,15,09:34:12,09:34:17,13:23:32,COMPLETED,39505.0,229240.9,5.79,13760.18
59,medium,14,13:20:09,13:20:12,13:26:51,COMPLETED,26934.0,6648.4,3.95,402.83
54,medium,14,13:24:24,13:24:26,13:30:23,COMPLETED,30499.0,5948.2,2.62,359.49
57,easy,12,13:29:36,13:29:41,13:30:47,COMPLETED,36761.0,1110.8,5.14,71.74
58,medium,13,13:29:17,13:29:22,13:31:36,COMPLETED,31148.0,2220.5,5.90,139.10
31,medium,14,11:48:42,11:48:44,13:45:10,COMPLETED,36343.0,116448.5,2.07,6988.96
