task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec
6,easy,12,08:03:51,08:03:54,08:04:25,COMPLETED,24624.0,0.5050
16,medium,13,08:03:18,08:03:18,08:05:07,COMPLETED,31912.0,1.8157
10,easy,11,08:10:54,08:10:56,08:11:26,COMPLETED,24395.0,0.5029
2,medium,14,08:05:28,08:05:31,08:13:27,COMPLETED,27771.0,7.9295
15,easy,12,08:14:12,08:14:15,08:15:21,COMPLETED,25724.0,1.1059
4,easy,12,08:19:16,08:19:16,08:19:58,COMPLETED,20982.0,0.7034
14,easy,12,08:20:52,08:20:52,08:21:53,COMPLETED,31667.0,1.0063
12,easy,11,08:23:52,08:23:53,08:24:23,COMPLETED,31071.0,0.5032
7,easy,11,08:25:58,08:26:00,08:26:06,COMPLETED,30534.0,0.1016
0,medium,14,08:21:06,08:21:10,08:27:42,COMPLETED,31713.0,6.5284
19,medium,14,08:11:34,08:11:38,08:28:54,COMPLETED,34540.0,17.2689
1,easy,12,08:31:57,08:32:01,08:32:25,COMPLETED,24943.0,0.4021
8,easy,12,08:36:41,08:36:43,08:37:07,COMPLETED,30170.0,0.4019
9,easy,11,08:37:23,08:37:25,08:37:31,COMPLETED,25606.0,0.1023
11,medium,14,08:41:26,08:41:26,08:43:26,COMPLETED,33447.0,2.0074
13,easy,12,08:43:28,08:43:32,08:44:02,COMPLETED,29166.0,0.5022
3,easy,11,08:47:07,08:47:09,08:47:33,COMPLETED,37307.0,0.4021
18,easy,12,08:52:39,08:52:39,08:53:28,COMPLETED,20886.0,0.8046
17,medium,13,08:55:09,08:55:10,08:59:53,COMPLETED,31808.0,4.7163
5,medium,13,08:59:12,08:59:17,09:03:48,COMPLETED,27658.0,4.5169
22,easy,11,09:04:09,09:04:12,09:04:18,COMPLETED,28406.0,0.1021
36,easy,12,09:04:10,09:04:12,09:04:48,COMPLETED,26264.0,0.6034
32,easy,12,09:07:50,09:07:54,09:08:06,COMPLETED,24857.0,0.2018
23,easy,12,09:09:36,09:09:37,09:10:31,COMPLETED,31142.0,0.9054
30,easy,12,09:22:54,09:22:58,09:23:58,COMPLETED,21853.0,1.0073
20,easy,11,09:25:43,09:25:47,09:25:59,COMPLETED,33786.0,0.2026
27,easy,12,09:26:36,09:26:41,09:26:53,COMPLETED,31812.0,0.2023
28,easy,11,09:31:50,09:31:54,09:32:00,COMPLETED,26150.0,0.1015
25,easy,11,09:32:16,09:32:18,09:32:25,COMPLETED,24636.0,0.1014
38,easy,11,09:34:45,09:34:49,09:35:01,COMPLETED,22468.0,0.2021
31,easy,11,09:35:18,09:35:19,09:35:37,COMPLETED,28380.0,0.3027
24,easy,12,09:37:12,09:37:14,09:38:14,COMPLETED,29232.0,1.0068
33,easy,11,09:41:59,09:42:03,09:42:09,COMPLETED,31627.0,0.1014
21,easy,12,09:49:15,09:49:17,09:49:47,COMPLETED,29832.0,0.5049
35,medium,14,09:18:07,09:18:09,09:51:18,COMPLETED,33644.0,33.1541
26,medium,14,09:50:14,09:50:17,09:56:19,COMPLETED,28642.0,6.0255
29,medium,14,09:57:42,09:57:43,10:03:40,COMPLETED,30976.0,5.9378
56,easy,12,10:05:02,10:05:04,10:05:58,COMPLETED,25411.0,0.9068
57,medium,14,10:03:18,10:03:21,10:08:41,COMPLETED,29155.0,5.3333
41,easy,11,10:10:39,10:10:42,10:10:54,COMPLETED,23221.0,0.2021
40,easy,11,10:17:26,10:17:26,10:17:32,COMPLETED,28030.0,0.1015
48,easy,12,10:21:30,10:21:34,10:21:52,COMPLETED,29914.0,0.3064
42,easy,12,10:23:36,10:23:41,10:24:05,COMPLETED,27490.0,0.4045
55,easy,12,10:21:52,10:21:52,10:24:41,COMPLETED,31362.0,2.8264
51,easy,11,10:24:36,10:24:41,10:24:48,COMPLETED,23120.0,0.1045
59,easy,12,10:25:19,10:25:24,10:26:00,COMPLETED,29068.0,0.6054
58,easy,12,10:28:27,10:28:31,10:28:43,COMPLETED,29165.0,0.2027
50,medium,13,10:23:37,10:23:41,10:31:45,COMPLETED,24720.0,8.0640
44,easy,12,10:32:47,10:32:51,10:33:21,COMPLETED,22271.0,0.5071
43,easy,11,10:34:15,10:34:16,10:34:22,COMPLETED,24067.0,0.1019
47,medium,13,10:37:04,10:37:05,10:38:24,COMPLETED,27472.0,1.3104
54,easy,12,10:39:53,10:39:54,10:40:43,COMPLETED,34379.0,0.8069
53,medium,14,10:19:05,10:19:09,10:50:40,COMPLETED,38292.0,31.5306
45,easy,12,10:51:00,10:51:05,10:52:05,COMPLETED,30203.0,1.0080
52,medium,14,10:49:12,10:49:16,10:54:30,COMPLETED,30804.0,5.2368
49,medium,13,10:55:47,10:55:49,11:05:41,COMPLETED,31363.0,9.8683
61,easy,11,11:05:32,11:05:35,11:05:47,COMPLETED,30818.0,0.2027
69,easy,11,11:08:17,11:08:18,11:08:24,COMPLETED,26987.0,0.1028
46,hard,15,10:35:30,10:35:34,11:12:44,COMPLETED,27843.0,37.1530
74,easy,12,11:11:42,11:11:43,11:12:50,COMPLETED,27491.0,1.1095
60,easy,12,11:12:31,11:12:31,11:13:32,COMPLETED,30219.0,1.0075
71,easy,12,11:19:21,11:19:22,11:19:34,COMPLETED,29518.0,0.2021
75,easy,12,11:20:32,11:20:34,11:20:58,COMPLETED,33810.0,0.4040
67,easy,12,11:22:17,11:22:17,11:23:35,COMPLETED,30740.0,1.3077
65,easy,11,11:27:54,11:27:55,11:28:19,COMPLETED,29978.0,0.4046
79,easy,11,11:29:28,11:29:31,11:29:37,COMPLETED,24388.0,0.1020
77,medium,13,11:25:21,11:25:24,11:32:15,COMPLETED,36963.0,6.8503
68,easy,12,11:35:11,11:35:16,11:35:34,COMPLETED,26491.0,0.3031
73,medium,14,11:38:19,11:38:23,11:51:23,COMPLETED,27219.0,13.0087
63,easy,12,11:49:45,11:49:46,11:51:41,COMPLETED,29370.0,1.9212
76,medium,13,11:42:07,11:42:12,11:53:12,COMPLETED,33240.0,10.9947
64,easy,11,11:54:13,11:54:13,11:54:25,COMPLETED,31549.0,0.2033
62,easy,11,11:59:03,11:59:03,11:59:15,COMPLETED,22811.0,0.2032
87,easy,11,12:03:52,12:03:53,12:04:36,COMPLETED,25941.0,0.7101
84,medium,13,12:09:43,12:09:45,12:11:22,COMPLETED,35513.0,1.6168
70,medium,14,11:45:33,11:45:38,12:11:34,COMPLETED,24862.0,25.9321
80,easy,11,12:14:13,12:14:18,12:14:36,COMPLETED,24667.0,0.3057
86,easy,12,12:14:33,12:14:36,12:16:01,COMPLETED,26385.0,1.4214
91,medium,13,12:18:35,12:18:39,12:22:43,COMPLETED,30641.0,4.0584
97,easy,11,12:22:38,12:22:43,12:22:49,COMPLETED,26713.0,0.1064
72,hard,15,11:49:59,11:50:04,12:26:15,COMPLETED,29068.0,36.1780
93,medium,14,12:08:59,12:09:03,12:26:33,COMPLETED,29721.0,17.5115
95,hard,15,12:13:16,12:13:17,12:26:45,COMPLETED,28238.0,13.4693
96,easy,11,12:27:03,12:27:04,12:27:40,COMPLETED,35836.0,0.6092
99,hard,15,12:16:09,12:16:14,12:27:58,COMPLETED,28806.0,11.7457
88,easy,11,12:28:47,12:28:47,12:28:53,COMPLETED,32444.0,0.1040
66,medium,14,11:53:29,11:53:30,12:31:00,COMPLETED,39673.0,37.4960
94,easy,12,12:31:00,12:31:00,12:32:43,COMPLETED,27778.0,1.7163
81,medium,14,12:36:18,12:36:20,12:41:29,COMPLETED,25356.0,5.1434
98,easy,12,12:45:15,12:45:18,12:46:07,COMPLETED,26338.0,0.8070
85,easy,11,12:47:15,12:47:19,12:47:25,COMPLETED,19735.0,0.1020
82,easy,11,12:48:36,12:48:38,12:48:50,COMPLETED,29693.0,0.2047
89,easy,11,12:51:40,12:51:45,12:51:57,COMPLETED,26170.0,0.2035
92,easy,12,12:54:27,12:54:29,12:54:53,COMPLETED,30950.0,0.4043
83,medium,13,12:57:33,12:57:36,12:59:31,COMPLETED,30774.0,1.9149
117,easy,11,13:07:45,13:07:46,13:07:52,COMPLETED,30521.0,0.1021
105,medium,13,13:14:06,13:14:07,13:15:14,COMPLETED,24071.0,1.1105
107,easy,11,13:16:00,13:16:02,13:16:32,COMPLETED,30084.0,0.5071
101,medium,13,13:11:03,13:11:06,13:17:57,COMPLETED,31681.0,6.8627
108,medium,13,13:19:07,13:19:10,13:20:04,COMPLETED,29402.0,0.9081
111,medium,14,13:15:27,13:15:32,13:22:48,COMPLETED,32445.0,7.2658
103,easy,11,13:23:15,13:23:18,13:23:24,COMPLETED,23024.0,0.1023
118,medium,14,13:21:00,13:21:05,13:29:22,COMPLETED,34692.0,8.2846
104,medium,14,13:23:27,13:23:30,13:29:40,COMPLETED,35433.0,6.1666
116,medium,14,13:22:17,13:22:17,13:31:23,COMPLETED,27273.0,9.0923
115,medium,13,13:31:04,13:31:05,13:34:36,COMPLETED,32366.0,3.5258
106,easy,11,13:37:21,13:37:25,13:37:43,COMPLETED,28224.0,0.3042
110,easy,11,13:42:08,13:42:09,13:42:16,COMPLETED,29375.0,0.1022
113,medium,13,13:43:43,13:43:46,13:47:18,COMPLETED,27159.0,3.5303
112,medium,14,13:40:05,13:40:09,13:53:51,COMPLETED,32133.0,13.7121
119,easy,11,13:55:40,13:55:40,13:55:52,COMPLETED,18252.0,0.2033
114,easy,12,13:59:11,13:59:12,13:59:24,COMPLETED,24192.0,0.2054
133,easy,12,14:01:49,14:01:50,14:02:26,COMPLETED,27313.0,0.6088
124,easy,11,14:06:45,14:06:47,14:07:05,COMPLETED,27265.0,0.3044
90,hard,16,12:11:39,12:11:40,14:08:11,COMPLETED,30856.0,116.5195
