task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec,waiting_time_sec,time_in_system_sec
16,easy,12,08:00:00,08:00:00,08:01:00,COMPLETED,37105.0,1.0091,"0.07, f{(task.end_time - task.arrival_time_offset):.2f}"
4,easy,11,08:05:38,08:05:43,08:06:20,COMPLETED,22045.0,0.6067,"5.78, f{(task.end_time - task.arrival_time_offset):.2f}"
25,medium,13,08:07:02,08:07:02,08:08:57,COMPLETED,30696.0,1.9109,"0.38, f{(task.end_time - task.arrival_time_offset):.2f}"
17,easy,12,08:09:47,08:09:51,08:12:28,COMPLETED,27605.0,2.6148,"4.24, f{(task.end_time - task.arrival_time_offset):.2f}"
13,easy,12,08:10:59,08:11:03,08:12:28,COMPLETED,30985.0,1.4091,"4.60, f{(task.end_time - task.arrival_time_offset):.2f}"
19,easy,11,08:12:31,08:12:34,08:13:10,COMPLETED,26569.0,0.6052,"3.17, f{(task.end_time - task.arrival_time_offset):.2f}"
27,easy,11,08:12:42,08:12:46,08:13:10,COMPLETED,26655.0,0.4036,"4.28, f{(task.end_time - task.arrival_time_offset):.2f}"
22,easy,11,08:14:57,08:14:58,08:15:11,COMPLETED,24173.0,0.2018,"1.94, f{(task.end_time - task.arrival_time_offset):.2f}"
8,easy,11,08:17:08,08:17:11,08:17:53,COMPLETED,29549.0,0.7056,"3.55, f{(task.end_time - task.arrival_time_offset):.2f}"
9,easy,11,08:18:25,08:18:30,08:18:42,COMPLETED,25251.0,0.2027,"5.03, f{(task.end_time - task.arrival_time_offset):.2f}"
26,easy,12,08:18:30,08:18:30,08:19:06,COMPLETED,33121.0,0.6048,"0.03, f{(task.end_time - task.arrival_time_offset):.2f}"
15,easy,11,08:19:07,08:19:12,08:19:24,COMPLETED,25045.0,0.2035,"5.40, f{(task.end_time - task.arrival_time_offset):.2f}"
3,medium,13,08:20:05,08:20:06,08:20:36,COMPLETED,29688.0,0.5032,"1.80, f{(task.end_time - task.arrival_time_offset):.2f}"
1,easy,11,08:31:35,08:31:39,08:31:46,COMPLETED,27239.0,0.1019,"4.95, f{(task.end_time - task.arrival_time_offset):.2f}"
2,easy,12,08:36:14,08:36:17,08:37:36,COMPLETED,27150.0,1.3122,"3.44, f{(task.end_time - task.arrival_time_offset):.2f}"
10,easy,12,08:38:09,08:38:12,08:38:30,COMPLETED,25571.0,0.3040,"3.42, f{(task.end_time - task.arrival_time_offset):.2f}"
20,easy,11,08:40:27,08:40:31,08:41:38,COMPLETED,28253.0,1.1107,"4.42, f{(task.end_time - task.arrival_time_offset):.2f}"
14,easy,11,08:43:48,08:43:50,08:44:08,COMPLETED,26301.0,0.3033,"2.76, f{(task.end_time - task.arrival_time_offset):.2f}"
