test_id,n,city_index,cost,syncs,duration_sec,machine_info
Test 6,15,1,32459.828342034794,1,3.5494,Cluster multithread bt compile
Test 6,15,2,32459.828342034794,1,2.0876,Cluster multithread bt compile
Test 6,15,3,32459.828342034794,1,2.6682,Cluster multithread bt compile
Test 6,15,4,33682.707578446665,0,1.5658,Cluster multithread bt compile
Test 6,15,5,32459.828342034794,1,3.0948,Cluster multithread bt compile
Test 6,15,6,32459.828342034794,1,2.6834,Cluster multithread bt compile
Test 6,15,7,36224.67746633321,0,0.2706,Cluster multithread bt compile
Test 6,15,8,32459.828342034794,1,2.1348,Cluster multithread bt compile
Test 6,15,9,32459.828342034794,1,2.4270,Cluster multithread bt compile
Test 6,15,10,32459.828342034794,1,3.4269,Cluster multithread bt compile
Test 6,15,11,34666.38098687989,0,0.8307,Cluster multithread bt compile
Test 6,15,12,33736.78489788581,0,0.3546,Cluster multithread bt compile
Test 6,15,13,32459.828342034794,2,5.3591,Cluster multithread bt compile
Test 6,15,14,32459.828342034794,1,2.0973,Cluster multithread bt compile
Test 7,15,1-2,32459.0,1,2.0523,Cluster multithread bt compile
Test 7,15,1-3,32519.987683689786,0,1.4130,Cluster multithread bt compile
Test 7,15,1-4,32976.83020748524,0,1.9889,Cluster multithread bt compile
Test 7,15,1-5,32459.828342034794,0,1.8182,Cluster multithread bt compile
Test 7,15,1-6,34544.11764167708,0,1.4931,Cluster multithread bt compile
Test 7,15,1-7,36726.82812300712,0,1.7395,Cluster multithread bt compile
Test 7,15,1-8,32459.0,1,2.0756,Cluster multithread bt compile
Test 7,15,1-9,33015.852256209495,0,1.2957,Cluster multithread bt compile
Test 7,15,1-10,33880.00660609332,0,1.1382,Cluster multithread bt compile
Test 7,15,1-11,32459.0,1,2.0188,Cluster multithread bt compile
Test 7,15,1-12,34713.85658670478,0,0.7522,Cluster multithread bt compile
Test 7,15,1-13,32459.0,1,2.0275,Cluster multithread bt compile
Test 7,15,1-14,33950.053934596865,0,1.5077,Cluster multithread bt compile
Test 7,15,2-1,38697.0,0,0.2956,Cluster multithread bt compile
Test 7,15,2-3,32459.0,1,2.0121,Cluster multithread bt compile
Test 7,15,2-4,32459.0,1,2.0120,Cluster multithread bt compile
Test 7,15,2-5,38697.0,0,0.1344,Cluster multithread bt compile
Test 7,15,2-6,38697.0,0,0.2005,Cluster multithread bt compile
Test 7,15,2-7,35981.52873828969,0,0.7844,Cluster multithread bt compile
Test 7,15,2-8,36821.0,0,0.0940,Cluster multithread bt compile
Test 7,15,2-9,34551.0,0,0.0010,Cluster multithread bt compile
Test 7,15,2-10,35213.0,0,0.0010,Cluster multithread bt compile
Test 7,15,2-11,34551.0,0,0.1943,Cluster multithread bt compile
Test 7,15,2-12,33374.78256073376,0,0.4252,Cluster multithread bt compile
Test 7,15,2-13,34551.0,0,0.0000,Cluster multithread bt compile
Test 7,15,2-14,34551.0,0,0.0011,Cluster multithread bt compile
Test 7,15,3-1,33374.0,0,0.2115,Cluster multithread bt compile
Test 7,15,3-2,32459.0,1,2.0339,Cluster multithread bt compile
Test 7,15,3-4,34441.703821023315,0,1.6006,Cluster multithread bt compile
Test 7,15,3-5,34551.0,0,0.1411,Cluster multithread bt compile
Test 7,15,3-6,35213.0,0,0.4356,Cluster multithread bt compile
Test 7,15,3-7,34551.0,0,0.1497,Cluster multithread bt compile
Test 7,15,3-8,34551.0,0,0.0441,Cluster multithread bt compile
Test 7,15,3-9,34551.0,0,0.0824,Cluster multithread bt compile
Test 7,15,3-10,34551.0,0,0.0451,Cluster multithread bt compile
Test 7,15,3-11,34551.0,0,0.5677,Cluster multithread bt compile
Test 7,15,3-12,34108.50014921947,0,1.1028,Cluster multithread bt compile
Test 7,15,3-13,32459.0,0,0.0001,Cluster multithread bt compile
Test 7,15,3-14,32519.0,0,0.0646,Cluster multithread bt compile
Test 7,15,4-1,34551.0,0,0.0120,Cluster multithread bt compile
Test 7,15,4-2,33749.8235735815,0,0.5016,Cluster multithread bt compile
Test 7,15,4-3,34551.0,0,0.1548,Cluster multithread bt compile
Test 7,15,4-5,34551.0,0,0.0113,Cluster multithread bt compile
Test 7,15,4-6,32459.0,0,0.0000,Cluster multithread bt compile
